volume_top3_share,multi_dim_near_limit_share,side_wall_area_load
0.41767963263101027,0.1,1.231111111111111
0.4060783719128003,0.2,1.2016666666666667
0.42378691983122363,0.0,1.1383333333333334
0.38687340555942085,0.09090909090909091,1.2683333333333333
0.45164433617539584,0.0,1.066111111111111
0.0,0.0,0.0
0.4738878143133462,0.2222222222222222,1.0766666666666667
0.4777325297279687,0.09090909090909091,1.2472222222222222
0.46210569438754606,0.08333333333333333,1.3
0.49957944907829255,0.2,1.1194444444444445
0.45348618090452264,0.08333333333333333,1.3294444444444444
0.31580286904211013,0.13333333333333333,1.738888888888889
0.0,0.0,0.0
0.0,0.0,0.0
0.40646395210244757,0.07142857142857142,1.508888888888889
0.37408285982236444,0.16666666666666666,1.5
0.5137629599512096,0.1111111111111111,1.0166666666666666
0.40282178964840804,0.1,1.1388888888888888
0.48129156317602756,0.1111111111111111,1.0566666666666666
