load_util_ratio,multi_dim_tight_share,dim_l_tail_ratio
0.0,0.08333333333333333,1.610256410173833
0.0,0.2222222222222222,1.2461538461059172
0.0,0.14285714285714285,1.257692307643935
0.0,0.18181818181818182,1.2692307691819527
0.0,0.08333333333333333,1.149999999955769
0.0,0.1,1.161538461493787
0.0,0.09090909090909091,1.2799999999488
0.0,0.18181818181818182,1.2307692307218936
0.0,0.11764705882352941,1.2307692307218936
0.0,0.14285714285714285,1.2307692307218936
0.0,0.14285714285714285,1.1615384614937871
0.0,0.0,1.4473684209764544
0.0,0.1111111111111111,1.2384615384139055
0.0,0.0,1.5263157893933519
0.0,0.07142857142857142,1.2307692307218936
0.0,0.07142857142857142,1.2196078430894273
0.0,0.13333333333333333,1.2307692307218936
0.0,0.06666666666666667,1.1846153845698224
0.0,0.1,1.2307692307218936
0.0,0.3333333333333333,1.0374999999675782
