load_param_max,dim_m_sum_to_vw,awkward_floor_share
0,4.12,0.7142857142857143
0,6.48,0.46153846153846156
0,4.88,0.5555555555555556
0,2.7600000000000002,0.8
0,8.24,0.5
0,3.12,0.5
0,3.72,0.5714285714285714
0,3.08,0.5
0,9.120000000000001,0.5294117647058824
0,7.36,0.5
0,3.8800000000000003,0.7142857142857143
0,8.96,0.47058823529411764
0,8.56,0.5
0,2.8000000000000003,0.5
0,4.36,0.2222222222222222
0,7.0,0.6923076923076923
0,5.5600000000000005,0.8
0,3.16,0.5
0,9.08,0.5294117647058824
0,1.48,0.6666666666666666
0,7.4,0.5714285714285714
0,1.28,1.0
0,6.76,0.5384615384615384
0,3.76,0.7142857142857143
0,5.68,0.5454545454545454
0,8.72,0.625
0,1.8399999999999999,0.25
0,6.08,0.7272727272727273
0,4.72,0.5555555555555556
0,9.48,0.5
0,1.8800000000000001,0.5
0,6.680000000000001,0.8333333333333334
0,3.8,0.25
