dim_s_p90_to_vh,two_dim_large_share,aspect_cv
0.4,0.26666666666666666,0.34929750206571936
0.42,0.13333333333333333,0.40434495575126705
0.4033333333333333,0.2,0.3696713429594417
0.33999999999999997,0.5555555555555556,0.23461339027433306
0.4,0.15384615384615385,0.3521208462102925
0.39000000000000007,0.07142857142857142,0.3629785796415502
0.4,0.16666666666666666,0.38405195478752147
0.36666666666666664,0.2,0.29033207811328726
0.4,0.16666666666666666,0.40147922782278567
0.4,0.08333333333333333,0.4327916812277687
0.3966666666666667,0.3333333333333333,0.2771050225230795
0.4066666666666667,0.3333333333333333,0.4350563939239547
0.36666666666666664,0.3,0.3819259700833934
0.39000000000000007,0.07142857142857142,0.40343397171189493
0.4,0.25,0.3513902213572712
0.4266666666666667,0.15384615384615385,0.4124324216633686
0.4,0.07692307692307693,0.3913705755182474
0.4,0.18181818181818182,0.2670290554722512
0.3966666666666667,0.16666666666666666,0.3425578750010425
0.39000000000000007,0.21428571428571427,0.3520744613989785
0.4033333333333333,0.3,0.3933945945842358
0.38,0.1111111111111111,0.42642421904193245
0.36666666666666664,0.36363636363636365,0.32977703857097884
0.35,0.16666666666666666,0.3893227529640812
0.38666666666666666,0.4,0.44426433928065207
0.36666666666666664,0.23529411764705882,0.37581011102227885
0.3666666666666667,0.5,0.3884198898471197
0.3766666666666667,0.2777777777777778,0.33305420338598785
0.4,0.23076923076923078,0.3268941432899389
0.36666666666666664,0.25,0.33794209612860093
0.36666666666666664,0.3,0.299551787046772
0.4033333333333334,0.2,0.4014501629292347
0.38666666666666666,0.0,0.370818420859942
0.4,0.23076923076923078,0.40290745705641234
0.4,0.3333333333333333,0.41927913574740594
0.41000000000000003,0.2222222222222222,0.4053337609182559
0.4266666666666667,0.23076923076923078,0.39709757403496776
0.4,0.23076923076923078,0.35819840878489356
0.4,0.23076923076923078,0.3773275573319682
0.4,0.13333333333333333,0.3932307017915408
0.39333333333333337,0.07692307692307693,0.35087222695890835
0.28,0.3333333333333333,0.19238173504110262
