spare_cap_x_avg_vol,wl_max_residual,n_long_items
20651815.38516,-1144.9999997,0
93626379.0,-251.6666667,0
77440015.80000001,-300.4166667,0
39536199.176708,-886.25,0
86356415.5,-47.49999996999999,0
12911173.33494,-1183.7499997,0
81125807.80000001,-350.8333333,0
1536111.7335060001,-1243.75,0
-6061131.266021,-1324.1666667,0
18048301.717104,-1208.3333337,0
54422997.23041999,-656.6666667,0
30805335.920270998,-1073.7499997,0
40617316.266005,-923.7499997,0
43316551.26498,-792.5,0
34718825.921011,-899.1666667,0
35436756.267405,-962.5,0
48287277.5,-753.75,0
35982810.820362,-951.2499997,0
25041033.644289,-1114.1666663,0
55351296.0,-725.4166667,0
54885775.993668,-708.3333333,0
24712523.0,-1070.8333337,0
34294848.0,-956.2499997,0
36372562.817073,-958.7499997,0
24487748.921047997,-1106.2499997,0
42238103.6,-825.8333333999999,0
29584099.663266,-916.2499997,0
54932096.006352,-804.1666667,0
31197918.17828,-958.3333336999999,0
26429999.919583,-979.5833336999999,0
58042165.5,-642.0833333999999,0
46356991.1,-801.25,0
32250300.0,-962.4999997,0
54974606.213728,-654.5833333,0
12651274.0,-1137.083333,0
34696341.452484,-940.0,0
31012800.0,-1038.3333337,0
45233035.1,-903.7499997,0
41683247.188905,-855.833333,0
34653682.817153,-1010.4166667,0
-6428594.11656,-1392.0833337,0
13452935.71562,-1194.9999997,0
72307964.425401,-547.0833333999999,0
50315591.9,-695.4166667,0
54635406.230528,-755.8333333,0
65958246.289882004,-435.0,0
12625349.715528,-1225.8333337,0
21615507.13933,-1119.1666667,0
4737911.932787,-1355.4166667,0
9345220.732211,-1247.0833337,0
46447963.1,-852.0833336999999,0
48736919.004759,-875.416667,0
25041211.616777997,-1049.1666667,0
27480101.719204,-1050.8333333,0
26299094.669564,-1055.8333337,0
47886571.1,-774.1666667,0
33799075.912511,-984.5833336999999,0
33977043.670858,-949.1666667,0
22220879.919007,-1087.9166667,0
53323619.551695995,-755.4166667,0
45636403.1,-772.5,0
27057748.5,-1107.9166663,0
26051897.913805,-1091.2499997,0
21873783.38754,-1112.4999997,0
25261623.38814,-1013.7499997,0
35919657.820356,-940.8333336999999,0
29035085.919979,-973.3333336999999,0
21747712.49763,-1195.416667,0
46621907.099999994,-808.75,0
55691492.886638,-717.9166667,0
37453210.817019,-876.666667,0
77986919.842897,-457.5,0
90203075.2,-350.8333333,0
-12580425.00204,-1487.916667,0
80657211.824259,-440.41666669999995,0
-17476250.00205,-1498.7499997,0
20397097.768158,-1180.4166667,0
63275471.875,-550.0,0
48546551.9,-720.0,0
-26436162.05,-1739.9999997,0
62445971.875,-525.4166667,0
19617500.0,-1183.3333337,0
81146866.5,-471.25,0
-17403062.722903,-1613.7499997,0
11461707.616492001,-1176.2499997,0
22679876.92124,-1093.3333337,0
22215806.460942,-1085.8333337,0
12281798.331815,-1240.8333337,0
32334936.619456,-1075.4166663,0
55834404.891173996,-669.5833333,0
37940359.913844,-900.0,0
49744099.552255996,-764.5833333999999,0
34482846.454668,-986.2500003,0
17684048.002712,-1220.8333337,0
17956823.921236,-1185.4166667,0
37583343.17714,-892.5,0
49888963.1,-730.0,0
47666727.9,-766.6666667,0
36186217.817082,-915.8333336999999,0
49389092.887262,-757.0833333999999,0
28776306.460692,-1092.9166663,0
37042389.0,-941.2499997,0
26889549.913683,-983.333333,0
82224589.324636,-457.5,0
56180831.007237,-654.5833333,0
82949062.5,-459.58333330000005,0
-19690.5625,-1377.4999997,0
92096955.0,-352.9166667,0
31172367.178284,-939.9999997,0
46873437.5,-807.0833333,0
26826255.919641,-1046.2500003,0
50458073.6,-696.25,0
27546247.913585,-1015.4166663000001,0
37964343.17706,-908.7500003,0
46997347.1,-760.0,0
36733491.67147,-952.9166663000001,0
56100488.89126,-632.0833333,0
28856508.0,-1070.8333337,0
22118113.766265,-1077.0833337,0
54325306.214072004,-692.0833333,0
62962049.5,-611.25,0
23432499.669166,-1046.666667,0
35100393.0,-915.0,0
63029554.875,-629.5833333,0
12596816.5,-1207.4999997,0
71484108.417891,-522.9166667,0
29337824.919591997,-1062.0833333,0
47388527.9,-814.5833333999999,0
12930674.75,-1295.416667,0
39667097.6,-915.8333336999999,0
71594996.419895,-631.25,0
16906542.75,-1238.3333333,0
39201665.6,-891.6666667,0
102789837.0,-168.33333337,0
36571962.177344,-923.3333336999999,0
37007712.0,-960.4166663000001,0
49829760.0,-765.4166667,0
41856550.4,-818.3333333999999,0
38841223.26654,-851.6666667,0
62350319.875,-679.5833333,0
23299747.914185,-946.6666667,0
74934887.343342,-489.16666669999995,0
56216875.992318004,-686.25,0
20079254.664596,-1034.1666667,0
49539956.4,-792.9166667,0
31936117.817268,-927.4999997,0
9787087.932153,-1313.7500003,0
82650151.824761,-403.75000000000006,0
11513016.0,-1187.9166667,0
70329600.0,-400.0,0
-12435324.763949001,-1472.4999997,0
16411401.143696,-1103.7499997,0
-5213380.5625,-1443.7499997,0
13035924.731709002,-1283.75,0
63281209.5,-558.75,0
34802217.0,-999.166667,0
139903848.0,-119.16666670000001,0
35143363.671102,-1023.333333,0
-5709807.25,-1353.7499997,0
46061997.5,-895.0000003,0
38680348.266585,-822.5,0
-9501978.0625,-1365.416667,0
37727178.671728,-932.083333,0
56237455.992612004,-735.0,0
110678289.75,-338.75,0
22941513.144128002,-1096.6666663,0
83546183.32509,-490.83333339999996,0
37921490.913839996,-925.8333336999999,0
71978214.29169999,-615.0,0
72318628.56504,-542.9166667,0
72239131.291926,-553.75,0
32313531.617418,-1003.75,0
54509359.559676,-708.75,0
94028383.8,-340.4166667,0
12508749.0,-1288.333333,0
81357495.824415,-424.1666667,0
71668422.291532,-620.8333333999999,0
80972946.0,-490.83333330000005,0
-1286844.764621,-1452.9166663,0
20582584.0,-1171.25,0
72185903.419346,-549.1666667,0
3146865.6475620004,-1445.416667,0
-3139881.25,-1435.4166667,0
66524699.844283,-317.0833333,0
56240784.0,-730.4166667,0
26036137.767762,-982.0833336999999,0
44609446.4,-774.5833333,0
67245159.322454,-334.5833333,0
-8744075.353123,-1486.6666667,0
104392991.654535,-134.5833333,0
2109031.714476,-1286.6666667,0
146340502.0,-99.1666666,0
17306427.616265997,-1181.666667,0
71698608.0,-525.4166667,0
39032239.914084,-912.083333,0
-6268024.0,-1359.5833337,0
84753344.0,-266.6666667,0
39116485.820688,-847.4999997,0
46465616.004372,-867.4999997,0
-14893996.053188002,-1569.9999997,0
73374651.0,-182.5,0
29899795.920119,-935.833333,0
63279137.5,-684.5833333,0
49076577.5,-709.1666667,0
62812253.875,-676.25,0
56186663.891305,-599.1666667,0
12944162.931722,-1201.2499997,0
13182135.998696001,-1144.583333,0
33976059.61761,-990.833333,0
67211091.289783,-437.08333330000005,0
26704787.0,-1036.25,0
39301911.9,-827.4999997,0
50513697.5,-793.75,0
1282935.29406,-1371.2499997,0
39806694.451958,-866.25,0
47198068.4,-850.4166667,0
56035013.231603995,-666.25,0
17373319.716978002,-1203.3333337,0
42687522.816687,-834.5833336999999,0
81395669.324424,-422.91666669999995,0
35110551.26748,-947.5,0
92847300.0,-132.5,0
-1407501.5625,-1381.25,0
-6598139.0625,-1394.9999997,0
85075190.2,-330.4166667,0
67992139.289715,-521.6666667,0
1001632.4375,-1366.6666667,0
69387282.28957601,-475.83333330000005,0
-16199986.117326,-1565.4166667,0
14693075.00219,-1197.9166667,0
62774728.875,-527.5,0
8550575.732314,-1284.1666667,0
43647739.1,-824.5833333,0
41059334.451798,-892.9166667,0
37812999.177092,-884.166667,0
55584144.0,-710.4166667,0
47308391.9,-796.25,0
62485558.875,-687.0833333,0
34780234.671024,-907.5,0
89582191.2,-358.3333333,0
8168071.932363,-1241.25,0
22258882.387605,-1105.833333,0
52304479.887051,-788.75,0
34211909.25,-936.666667,0
18418185.0,-1199.166667,0
149313834.676712,-236.6666667,0
101243228.8,-475.83333339999996,0
15788282.75,-1241.6666663,0
114866100.0,-345.8333333,0
6461222.785413,-1224.9999997,0
18773399.717242,-1177.4999997,0
-21738426.723051,-1616.6666667,0
38051409.458128,-936.2499997,0
1625799.99978,-1458.333333,0
-16093264.0,-1618.3333337,0
13536913.643529002,-1196.6666667,0
32010706.817265,-929.1666667,0
39939363.660898,-913.333333,0
