floor_area_pressure,long_item_share,cubic_item_share
1.012,0.0,0.5384615384615384
0.8,0.0,0.3
0.9086666666666666,0.0,0.25
0.6606666666666666,0.0,0.3333333333333333
0.9,0.0,0.36363636363636365
1.026,0.0,0.4166666666666667
0.6666666666666666,0.0,0.25
0.7986666666666666,0.0,0.5
1.0253333333333334,0.0,0.5833333333333334
0.668,0.0,0.2222222222222222
1.116,0.0,0.2857142857142857
0.9273333333333333,0.0,0.36363636363636365
0.9253333333333333,0.0,0.4166666666666667
0.7766666666666666,0.0,0.4
0.9046666666666666,0.0,0.5454545454545454
0.8566666666666667,0.0,0.36363636363636365
1.26,0.0,0.29411764705882354
1.0713333333333332,0.0,0.35714285714285715
0.5953333333333334,0.0,0.42857142857142855
0.8073333333333333,0.0,0.6
0.6786666666666666,0.0,0.2222222222222222
0.5013333333333333,0.0,0.5714285714285714
1.104,0.0,0.42857142857142855
1.064,0.0,0.42857142857142855
1.146,0.0,0.3333333333333333
1.23,0.0,0.4666666666666667
0.7753333333333333,0.0,0.4
0.6786666666666666,0.0,0.1111111111111111
0.964,0.0,0.3076923076923077
0.974,0.0,0.2857142857142857
0.988,0.0,0.5
0.7146666666666667,0.0,0.2
0.9153333333333333,0.0,0.4166666666666667
0.948,0.0,0.5
0.942,0.0,0.25
0.7373333333333333,0.0,0.5555555555555556
0.7646666666666667,0.0,0.4
1.022,0.0,0.5
0.9553333333333334,0.0,0.4166666666666667
1.0813333333333333,0.0,0.46153846153846156
0.9966666666666667,0.0,0.38461538461538464
0.8373333333333334,0.0,0.2727272727272727
0.9566666666666667,0.0,0.5
1.0073333333333334,0.0,0.2857142857142857
0.7993333333333333,0.0,0.5
0.74,0.0,0.5555555555555556
0.81,0.0,0.18181818181818182
0.434,0.0,0.5
0.3993333333333333,0.0,0.4
1.3306666666666667,0.0,0.35294117647058826
0.44133333333333336,0.0,0.16666666666666666
1.34,0.0,0.2777777777777778
0.9726666666666667,0.0,0.3076923076923077
0.5966666666666667,0.0,0.25
0.7126666666666667,0.0,0.2
1.5766666666666667,0.0,0.45
0.6913333333333334,0.0,0.75
1.0213333333333334,0.0,0.38461538461538464
0.474,0.0,0.3333333333333333
1.4433333333333334,0.0,0.3888888888888889
1.1233333333333333,0.0,0.38461538461538464
1.004,0.0,0.38461538461538464
1.0033333333333334,0.0,0.38461538461538464
1.1606666666666667,0.0,0.5333333333333333
0.9026666666666666,0.0,0.3076923076923077
0.5813333333333334,0.0,0.0
0.872,0.0,0.2727272727272727
0.7046666666666667,0.0,0.2222222222222222
0.9253333333333333,0.0,0.38461538461538464
0.9973333333333333,0.0,0.3076923076923077
1.03,0.0,0.38461538461538464
0.8713333333333333,0.0,0.2727272727272727
0.7473333333333333,0.0,0.5
0.714,0.0,0.2
0.8873333333333333,0.0,0.45454545454545453
0.704,0.0,0.2222222222222222
0.9653333333333334,0.0,0.38461538461538464
0.8993333333333333,0.0,0.5454545454545454
0.89,0.0,0.16666666666666666
0.47933333333333333,0.0,0.3333333333333333
0.6226666666666667,0.0,0.3333333333333333
0.488,0.0,0.3333333333333333
1.1613333333333333,0.0,0.25
0.408,0.0,0.4
0.8413333333333334,0.0,0.18181818181818182
0.7026666666666667,0.0,0.1
0.8826666666666667,0.0,0.16666666666666666
0.7053333333333334,0.0,0.6
0.85,0.0,0.08333333333333333
0.77,0.0,0.09090909090909091
0.7713333333333333,0.0,0.2
0.8646666666666667,0.0,0.3333333333333333
0.6053333333333333,0.0,0.1111111111111111
0.9413333333333334,0.0,0.4166666666666667
1.114,0.0,0.5384615384615384
0.644,0.0,0.1111111111111111
0.66,0.0,0.625
1.0073333333333334,0.0,0.3333333333333333
0.9286666666666666,0.0,0.4166666666666667
0.604,0.0,0.25
1.0453333333333332,0.0,0.2857142857142857
0.524,0.0,0.2857142857142857
0.9326666666666666,0.0,0.3076923076923077
0.7993333333333333,0.0,0.5
1.2333333333333334,0.0,0.5
0.8173333333333334,0.0,0.3
0.6126666666666667,0.0,0.42857142857142855
