spare_cap_x_hH,floor_area_pressure,tall_item_share
4453.570363648,0.6266666666666667,0.8888888888888888
3107.395,0.8860000000000001,0.8
7373.3333259599995,0.29200000000000004,1.0
1638.2346130889998,1.0846666666666667,0.7692307692307693
7294.275000000001,0.31666666666666665,1.0
3937.442849522,0.5953333333333334,1.0
4259.266660582,0.604,1.0
3057.5363623069998,0.8726666666666667,0.8181818181818182
2859.7500040590003,0.9793333333333334,0.7692307692307693
3244.78,0.6873333333333334,1.0
4501.985176342,0.762,0.6666666666666666
2451.426928272,0.8953333333333333,0.8461538461538461
4269.974999999999,0.5726666666666667,1.0
3718.00000572,0.682,1.0
5543.144441527,0.496,0.8333333333333334
5416.285707063999,0.622,0.7142857142857143
108.14509794,1.2013333333333334,0.8823529411764706
3163.586371248,0.808,0.8181818181818182
5808.88888308,0.44466666666666665,1.0
1541.759524166,1.0126666666666666,0.8571428571428571
5173.275008997,0.548,0.75
2890.59722539,0.9326666666666666,0.8333333333333334
4849.652383132,0.5800000000000001,0.8571428571428571
2499.061105744,0.8493333333333334,0.8333333333333334
2097.405003303,0.7906666666666667,1.0
2296.403028101,0.7993333333333333,1.0
3301.155,0.7873333333333333,0.8
2775.2393919849997,0.8266666666666667,1.0
3435.466671952,0.8566666666666667,0.8181818181818182
3750.7983395329998,0.8166666666666667,0.8
1476.018058564,0.8993333333333333,1.0
3690.5000061,0.8626666666666667,0.7
2894.66667112,0.8173333333333334,0.9090909090909091
2629.851514759,0.8433333333333334,0.8181818181818182
2048.8,0.8853333333333333,0.8333333333333334
3332.963640318,0.8026666666666666,0.6363636363636364
2402.813637588,0.8446666666666667,1.0
3250.05128002,0.862,0.8461538461538461
-1667.303918175,1.4046666666666667,0.8823529411764706
3796.030005978,0.706,0.9
717.48214383,1.04,0.9285714285714286
2230.479169911,0.9046666666666667,1.0
3713.999996286,0.716,1.0
7278.525000000001,0.33999999999999997,1.0
8159.333325174,0.228,1.0
7014.150010791001,0.34400000000000003,1.0
907.923078904,1.108,0.8461538461538461
4707.541673514,0.5773333333333334,1.0
1266.416668615,0.9940000000000001,0.9230769230769231
645.882052709,0.9793333333333334,1.0
1481.76969502,0.896,1.0
2702.9333341779998,0.882,0.8181818181818182
2769.381815874,0.8260000000000001,1.0
3830.3999924759996,0.78,0.7777777777777778
3305.6818113060003,0.872,0.6363636363636364
2350.480304228,0.9460000000000001,0.9090909090909091
3231.54,0.7786666666666666,0.8
2460.911116432,0.9693333333333334,0.75
3925.288897376,0.8213333333333334,0.6666666666666666
3342.522220463,0.7173333333333334,1.0
3138.243931728,0.8033333333333333,0.8181818181818182
3415.7777759799997,0.8066666666666666,0.7777777777777778
3053.173328672,0.882,0.8
1617.744443593,1.024,0.8333333333333334
4118.660409873,0.6593333333333333,0.75
4352.311906718,0.5726666666666667,1.0
1687.816663312,0.9653333333333334,0.8461538461538461
3028.176662147,0.7613333333333333,1.0
3842.670006513,0.728,0.8
6349.379177033,0.37533333333333335,0.75
950.6522216970001,1.206,0.7333333333333333
-1091.831481884,1.428,0.7777777777777778
2628.733326912,0.8973333333333333,0.8181818181818182
5178.749991714,0.558,0.875
818.514102172,1.104,0.8461538461538461
6011.366658079,0.45533333333333337,1.0
1847.597619878,0.9966666666666667,0.8571428571428571
508.621794058,1.0213333333333334,1.0
-655.447917705,1.2253333333333334,0.875
2236.697219702,0.8606666666666667,0.8333333333333334
4147.453695077,0.7086666666666667,1.0
2358.0,0.8166666666666667,1.0
3346.83,0.7253333333333334,1.0
5459.625009495,0.43333333333333335,0.8333333333333334
4118.138879476,0.6873333333333334,0.6666666666666666
2383.450002612,0.882,0.8333333333333334
5163.431241483,0.5426666666666666,0.875
682.17948734,1.1193333333333333,0.8461538461538461
3306.23333799,0.756,1.0
2987.201390537,0.8266666666666667,0.8333333333333334
3284.633328641,0.7886666666666666,1.0
-296.640000144,1.168,1.0
5099.675008326,0.6586666666666667,0.75
2114.608329734,1.0106666666666666,0.6666666666666666
3526.2000000000003,0.6706666666666667,0.8888888888888888
3422.2148177649997,0.7013333333333334,0.8888888888888888
3872.92592008,0.772,0.7777777777777778
1323.909522195,1.058,0.7857142857142857
2129.56409958,1.0293333333333334,0.8461538461538461
1234.557143412,1.1086666666666667,0.8571428571428571
