dim_l_occupancy_sum,fragile_vol_share,needle_frac,dim_m_tail_ratio
4.55,0.0,0.0,1.2999999999999998
5.35,0.0,0.0,1.1724137931034482
3.6833333333333336,0.0,0.0,1.2666666666666666
4.266666666666667,0.0,0.1,1.1400000000000001
5.166666666666667,0.0,0.0,1.4166666666666667
5.083333333333333,0.0,0.0,1.3076923076923077
5.066666666666666,0.0,0.0,1.2142857142857142
5.133333333333333,0.0,0.07692307692307693,1.2
4.8,0.0,0.0,1.2142857142857142
4.766666666666667,0.0,0.0,1.1724137931034482
5.75,0.0,0.0,1.4166666666666667
3.9333333333333336,0.0,0.0,1.3076923076923077
3.4166666666666665,0.0,0.0,1.1
4.983333333333333,0.0,0.09090909090909091,1.2142857142857142
2.466666666666667,0.0,0.0,1.3043478260869565
2.2,0.0,0.0,1.2571428571428573
7.166666666666667,0.0,0.058823529411764705,1.1714285714285713
2.7666666666666666,0.0,0.0,1.2307692307692308
7.633333333333333,0.0,0.05555555555555555,1.096774193548387
5.633333333333333,0.0,0.0,1.4000000000000001
3.4166666666666665,0.0,0.125,1.08125
4.283333333333333,0.0,0.1,1.06875
7.75,0.0,0.0,1.3076923076923077
2.533333333333333,0.0,0.0,1.2142857142857142
5.45,0.0,0.0,1.3333333333333333
2.6333333333333333,0.0,0.0,1.1153846153846154
7.266666666666667,0.0,0.0,1.2142857142857142
5.466666666666667,0.0,0.0,1.2
5.283333333333333,0.0,0.0,1.2142857142857142
5.316666666666666,0.0,0.0,1.2142857142857142
5.7,0.0,0.0,1.4166666666666667
5.2,0.0,0.0,1.4166666666666667
4.2,0.0,0.1111111111111111,1.1333333333333333
4.683333333333334,0.0,0.09090909090909091,1.2142857142857142
4.266666666666667,0.0,0.1111111111111111,1.0933333333333333
4.883333333333333,0.0,0.0,1.4166666666666667
5.65,0.0,0.0,1.4000000000000001
5.416666666666667,0.0,0.0,1.4000000000000001
4.716666666666667,0.0,0.09090909090909091,1.2142857142857142
