spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items,spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio,spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL,spare_cap_x_sku_counts,n_items_near_vL,n_tall_items,n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL,q90_l_to_L,spare_cap_x_n_wide,height_tail_share
15984004,955.784780544,5155754.165334,0.46014828544949027,0,8.293799608846818,0.09,0.024191940899999997,0.17,774612.5,6.655913976739841,0.5833333333236111,39980,4,3,2,6,15992,0.5383333333333333,7996,0.0
199543876,3528.81478866,14008283.3338042,0.49287426313402866,0,9.555843138911664,0.0711111112888889,0.03425683684282105,0.13,2525022.5,5.547785547940991,0.5499999999908334,141260,2,2,2,5,28252,0.52,28252,0.0
41177889,-1652.745239019,-10277895.002139,0.3899877472431297,0,0.0,0.09,0.0354013338,0.17,-1243293.75,8.266666668344431,0.5833333333236111,-83421,5,3,4,7,-32085,0.5466666666666667,-25668,0.0
4743684,544.241761074,2935762.500726,0.44059128485357996,0,7.68662133494462,0.09,0.0303287769,0.17,421987.5,6.956989248996352,0.5833333333236111,23958,4,3,2,6,8712,0.5333333333333333,4356,0.0
399040576,5224.715988184,16064033.3339992,0.6000239769820972,0,9.902336890778733,0.0711111112888889,0.03331480964164352,0.13,3570710.0,4.4988344989958104,0.5499999999908334,159808,1,2,2,4,19976,0.5033333333333333,39952,0.0
254274916,3980.194648626,14882933.3328018,0.5237488813932677,0,9.677026002747972,0.0711111112888889,0.0334565624418207,0.13,2850347.5,5.221445221229531,0.5499999999908334,143514,2,2,2,5,31892,0.5233333333333334,31892,0.0
30780304,1693.46034078,7464371.668516,0.46058501470140933,2,8.621373010325902,0.09,0.034450044299999996,0.17,1074925.0,6.944086023189966,0.5833333333236111,66576,4,4,2,7,22192,0.565,11096,0.0
139736041,3301.573655183,13426685.829393001,0.5476656921546762,2,9.377717481384314,0.09,0.0221108319,0.17,2290318.75,5.862365589647163,0.5833333333236111,106389,4,3,2,6,47284,0.57,23642,0.0
202123089,3997.695077145,17101866.254738998,0.38985803852775885,0,9.562264046489428,0.0802777775888889,0.03325629444420828,0.11,2399118.75,7.128395063661461,0.5333333333244444,199038,1,2,2,4,14217,0.4733333333333334,28434,0.0
275726025,4072.6551309750002,15830099.9994465,0.6399366085578447,1,9.717519354821976,0.09,0.0192459909,0.17,3217218.75,4.920430107329444,0.5833333333236111,116235,4,3,1,5,66420,0.5733333333333334,16605,0.0
349091856,4371.822618156,15499934.9993772,0.6904924760601915,1,9.835476341919584,0.09,0.0200000001,0.17,3620025.0,4.281720429913385,0.5833333333236111,112104,3,3,1,5,56052,0.575,18684,0.0
