height_pressure_share,long_wide_item_share,spare_x_volcv
0.0,0.07692307692307693,-4997.573202972098
0.0,0.09090909090909091,-6341.988979352667
0.0,0.08333333333333333,-5646.442075412829
0.0,0.14285714285714285,-3156.6329496557782
0.0,0.2,-9820.992340751736
0.0,0.1111111111111111,-8938.648825841186
0.0,0.2727272727272727,-4808.97010282829
0.0,0.16666666666666666,-14742.090634473332
0.0,0.2,-15879.059563181583
0.0,0.17647058823529413,1637.851018049025
0.0,0.5,-9723.90647818288
0.0,0.16666666666666666,3055.6231030034373
0.0,0.15384615384615385,-3443.4934561895757
0.0,0.125,-10747.133302569495
0.0,0.1,-8231.64806876063
0.0,0.15,4761.021591782914
0.0,0.0,-13712.707280169518
0.0,0.23076923076923078,-3268.630618821884
0.0,0.3333333333333333,-10076.87205172502
0.0,0.16666666666666666,2784.8882266249652
0.0,0.23076923076923078,-1537.8577388810284
0.0,0.15384615384615385,-4285.290297861131
0.0,0.15384615384615385,-4184.039322547442
0.0,0.06666666666666667,-2621.1641657259865
0.0,0.0,-5568.871148905281
0.0,0.2222222222222222,-6667.479383857116
0.0,0.09090909090909091,-4835.456350287974
0.0,0.2222222222222222,-7313.951884316297
0.0,0.0,-6538.164752370407
0.0,0.23076923076923078,-2681.470176007665
0.0,0.23076923076923078,-2984.522624616533
0.0,0.09090909090909091,-4815.035604512387
0.0,0.2,-10186.467688029576
0.0,0.1,-7925.292866668733
0.0,0.18181818181818182,-6708.995771767714
0.0,0.2222222222222222,-7202.791759414577
0.0,0.0,-5100.879524320588
0.0,0.09090909090909091,-7628.807275157692
0.0,0.3333333333333333,-3224.222383803423
0.0,0.3333333333333333,-12164.465666678281
0.0,0.1111111111111111,-9459.91087285589
0.0,0.3333333333333333,-12149.899373310851
0.0,0.125,3.7465300882904464
0.0,0.2,-15940.459172684166
0.0,0.18181818181818182,-4286.142555227247
0.0,0.1,-5019.042669645315
0.0,0.08333333333333333,-3127.359854512028
0.0,0.0,-12579.750763438842
0.0,0.16666666666666666,-3163.057270137038
0.0,0.09090909090909091,-4648.694135522589
0.0,0.2,-5242.792564263576
