height_layer_pressure,footprint_sum_ratio,length_sum_pressure
3.2666666666666666,2.5953333333333335,5.133333333333334
2.1666666666666665,2.196,3.75
3.7,3.008,5.566666666666666
3.3333333333333335,2.8473333333333333,5.4
3.6666666666666665,2.5206666666666666,4.983333333333333
3.6333333333333333,3.018666666666667,5.666666666666667
2.3666666666666667,1.4793333333333334,2.966666666666667
2.8,2.58,4.633333333333334
2.8,2.8713333333333333,5.116666666666666
2.566666666666667,2.505333333333333,4.633333333333334
2.6666666666666665,1.9226666666666667,3.716666666666667
2.7666666666666666,1.722,3.4
2.7333333333333334,2.358,4.25
2.566666666666667,1.6913333333333334,3.2333333333333334
2.1,1.8466666666666667,3.4833333333333334
0.26666666666666666,0.32,0.5333333333333333
2.466666666666667,2.2706666666666666,4.2
4.133333333333334,2.888,5.45
2.7333333333333334,2.5906666666666665,4.733333333333333
3.033333333333333,2.998,5.283333333333333
2.933333333333333,1.874,3.95
2.9,2.2426666666666666,4.316666666666666
3.3666666666666667,2.6986666666666665,5.133333333333334
2.7,2.1033333333333335,4.15
2.9,2.4113333333333333,4.7
3.8333333333333335,2.346,4.533333333333333
3.466666666666667,2.506666666666667,4.75
3.7,2.4233333333333333,4.633333333333334
3.6666666666666665,2.4886666666666666,4.666666666666667
0.8666666666666667,0.802,1.5333333333333334
0.43333333333333335,0.3413333333333333,0.5333333333333333
2.6,1.8453333333333333,3.45
3.3,2.882,5.366666666666666
4.366666666666666,3.538666666666667,6.216666666666667
2.3666666666666667,1.2873333333333334,2.3333333333333335
3.7333333333333334,2.8726666666666665,5.366666666666666
1.6,1.1066666666666667,1.95
2.8666666666666667,2.308,4.35
0.23333333333333334,0.38533333333333336,0.5666666666666667
3.066666666666667,2.232,4.0
3.0,2.3906666666666667,4.666666666666667
2.466666666666667,2.738,4.666666666666667
2.3,1.8606666666666667,3.716666666666667
3.2,2.102,4.116666666666666
0.7,0.7846666666666666,1.35
0.6333333333333333,0.628,1.0
1.7666666666666666,1.9533333333333334,3.316666666666667
0.9666666666666667,0.6373333333333333,1.4166666666666667
2.066666666666667,2.028,3.7666666666666666
3.3333333333333335,2.584,4.85
1.7,1.604,3.05
1.0,0.49933333333333335,1.1
4.066666666666666,2.83,5.266666666666667
1.3666666666666667,0.7213333333333334,1.3833333333333333
3.9,2.522,4.966666666666667
1.3,0.6706666666666666,1.3666666666666667
3.033333333333333,2.0193333333333334,4.133333333333334
2.6666666666666665,2.284666666666667,4.433333333333334
2.933333333333333,2.83,5.3
2.8666666666666667,2.1653333333333333,3.9833333333333334
2.2666666666666666,1.8953333333333333,3.683333333333333
3.1333333333333333,2.716666666666667,4.933333333333334
3.2333333333333334,2.179333333333333,4.45
3.0,1.932,4.133333333333334
2.966666666666667,2.764666666666667,5.266666666666667
3.1333333333333333,1.696,3.55
3.2,2.0453333333333332,3.816666666666667
3.033333333333333,2.638,4.916666666666667
3.0,2.088,3.8833333333333333
2.533333333333333,2.4466666666666668,4.633333333333334
2.6666666666666665,2.3813333333333335,4.25
3.3333333333333335,1.958,3.9166666666666665
1.8666666666666667,1.5046666666666666,2.8833333333333333
3.3,2.752666666666667,5.233333333333333
1.8333333333333333,1.5393333333333334,2.85
