three_dim_near_limit_share,vol_top3_concentration,spare_x_wlstd
0.0,0.4448312344288591,447598.59806414996
0.0,0.6788971367974549,1064051.6681724
0.0,0.347443621048142,213266.08922154
0.0,0.5498917208062636,780114.86939187
0.0,0.35046348999837373,431306.222185
0.0,0.6529347924391788,902742.91494256
0.0,0.3958814238853116,310323.2231414
0.0,0.38648086403921234,182246.31749646002
0.0,0.353967474508218,300877.05596746
0.0,0.5470770546115208,652935.3514625699
0.0,0.4160618049281954,363868.44746286
0.0,0.36638759264342574,447907.17949327995
0.0,0.4081284799818189,542243.28002404
0.0,0.3547383013784625,192976.53216261
0.0,0.500374531835206,425431.95345900004
0.0,0.4286346396965866,359410.641176
0.0,0.47218148344618843,467907.14020489
0.0,0.3906375877546323,386956.97646944
0.0,0.43159572046437517,603177.69735054
0.0,0.3886071234132783,271831.84251132
0.0,0.3269652901632597,450595.06740884
0.0,0.26598762494050454,-207522.8572585
0.0,0.4650853469297273,461895.40798337996
0.0,0.32109628561125136,101179.0429347
0.0,0.38455213088723167,283851.80733344
0.0,0.4794428536076643,482117.65825473
0.0,0.9459331278159829,956249.3938335599
0.0,1.0,810208.08815874
0.0,0.784271798526966,912318.26472864
0.0,0.3652353345779699,146414.22497128
0.0,0.5010221604383024,526822.40106932
0.0,0.3568126676031158,154869.8127494
0.0,0.3223598203037722,80241.98052066
0.0,0.4193330913239641,205811.67577424
0.0,0.3802594726845443,376533.02355360996
0.0,0.4197851858730306,355069.96593480004
0.0,0.4368309965324891,534736.7135982
0.0,0.387642488927612,502796.70392652
0.0,0.3861727270138671,227150.21945172
0.0,0.45968763191219925,521142.7241334
0.0,0.41604093496427275,410515.04917828
0.0,0.573965410747375,655509.77684192
0.0,0.46497754311379297,379228.70009481
0.0,0.3897358593990887,506397.35049243
0.0,0.4815405968077724,588214.4410102
0.0,0.4400631931906113,289099.5657648
0.0,0.3655623108444706,199386.21989164
0.0,0.5829643771071124,766371.55854357
0.0,0.597849638199583,680523.23864779
0.0,0.39714308991662817,288819.87636502
