spare_x_count,near_limit_long_share,vol_cv
26700,0.0,0.4126427642694716
124922,0.0,0.5965858598212453
104952,0.0,0.3720008463289926
183645,0.0,0.5734563924147611
184920,0.0,0.32814642233707964
180342,0.0,0.3522050102442337
63401,0.0,0.33999051760630533
-89642,0.0,0.40707707715563823
159390,0.0,0.5463402149909043
146880,0.0,0.4359149873087141
157536,0.0,0.5468034770551508
122556,0.0,0.4384529693091078
142252,0.0,0.41817050027575864
140980,0.0,0.5529315868713127
148740,0.0,0.45495708748789476
146512,0.0,0.3462502394460562
128632,0.0,0.538805736679736
114240,0.0,0.4142794668539957
163774,0.0,0.5978299711335748
100204,0.0,0.41454518214105046
195048,0.0,0.714121596321554
160270,0.0,0.537741015929908
135619,0.0,0.3049278189628402
161980,0.0,0.34052997704924526
179802,0.0,0.44862460992417574
180117,0.0,0.6563380036804826
163590,0.0,0.5358592390347451
217440,0.0,0.4470554107453665
140490,0.0,0.34036611227119445
41160,0.0,0.0
152370,0.0,0.3870937547970735
103292,0.0,0.3769940816000866
130900,0.0,0.3637959722337124
89683,0.0,0.2890741561616301
191570,0.0,0.6534769048871372
208824,0.0,0.3980890093806662
138576,0.0,0.4319231022777049
148500,0.0,0.42960334729966937
176077,0.0,0.41417499649105916
134676,0.0,0.41973837260068275
141600,0.0,0.5681357532099204
141012,0.0,0.4067227161785305
138540,0.0,0.4110960933052204
104517,0.0,0.037610050922165
38344,0.0,0.0
184608,0.0,0.6346139996906758
106236,0.0,0.4265659732296093
-1095,0.0,0.3445103378166954
174678,0.0,0.4754171429366775
109252,0.0,0.3661272142127142
146705,0.0,0.5086434691822443
206558,0.0,0.4091050929465178
40954,0.0,0.0
151150,0.0,0.369167212927771
177342,0.0,0.42899241977655617
144690,0.0,0.3303881018949826
166944,0.0,0.4549257412255739
186362,0.0,0.6365881658607516
110361,0.0,0.20181554680820374
73172,0.0,0.05412131769481062
158774,0.0,0.36488674203263866
106224,0.0,0.44275124126125526
170384,0.0,0.4015043153509956
