spare_x_wlmax,total_footprint_ratio,cross_dim_pressure_count
2160946.6662511,2.472,0
2179493.3329141997,2.3446666666666665,0
1216973.3330993,2.8806666666666665,0
3010453.3327544,1.8786666666666667,0
1910328.75,2.432,0
1490128.7503737002,2.644,0
1488066.6663805,2.719333333333333,0
1318026.6664131999,2.7813333333333334,0
1588426.6663612,2.832,0
2072719.9996014,2.473333333333333,0
1722413.3330021,2.5573333333333332,0
1327200.0,2.9673333333333334,0
2803319.9994608997,2.042,0
2532250.0,1.7593333333333334,0
2046560.0,2.692,0
3586375.0,1.1933333333333334,0
3591840.0,1.146,0
-693600.0,3.8093333333333335,0
4355680.0,1.444,0
-1065999.999795,4.217333333333333,0
1208653.3331009,2.93,0
2674200.0,1.9246666666666667,0
2152920.0,2.3433333333333333,0
-1676306.6663443,4.110666666666667,0
3104268.75,1.336,0
1152666.6664449999,2.8553333333333333,0
4304160.0,1.3013333333333332,0
-1062013.3331291,3.84,0
623826.6665466999,2.993333333333333,0
1379733.333068,2.8266666666666667,0
1344026.6664082,2.892,0
789533.3331815,2.985333333333333,0
1758753.3337744002,2.56,0
2570750.0,2.2626666666666666,0
1633875.0,2.5286666666666666,0
2573653.3328384,2.304,0
1978597.5004962,2.422,0
1018506.6664708,3.017333333333333,0
1037053.3331339,2.89,0
1608125.0,2.594,0
3165920.0,1.8286666666666667,0
2132625.0,2.3193333333333332,0
2096986.6662633999,2.473333333333333,0
2537946.6661786,2.3693333333333335,0
1462615.0003668,2.6693333333333333,0
2177239.9995812997,2.226,0
1432160.0,3.012,0
3131040.0,1.466,0
2713875.0,1.9373333333333334,0
3051000.0,1.5006666666666666,0
-1213.3333331,3.674,0
3511800.0,1.1806666666666668,0
1684626.6663427,2.8273333333333333,0
2176510.4172125002,2.486,0
1186015.4169641,2.99,0
3092960.0,1.6166666666666667,0
1228814.5836415,3.1326666666666667,0
1739214.5837695,2.812666666666667,0
2059625.0,2.41,0
1915329.167147,2.550666666666667,0
2667500.0,2.1006666666666667,0
1707679.9996715998,2.524,0
1336573.3330762999,2.654,0
2200560.0,2.372,0
3012250.0,1.4393333333333334,0
1199680.0,2.834,0
1659750.0,2.5033333333333334,0
2529720.0,1.9193333333333333,0
751746.6665221,3.255333333333333,0
2990520.0,1.5993333333333333,0
1505414.1670442,2.812,0
2913906.6661063,2.0533333333333332,0
831680.0,2.9846666666666666,0
2085546.6662656,2.4273333333333333,0
3509133.3326585,1.6426666666666667,0
949822.5002382001,2.9673333333333334,0
2047413.3329395999,2.208666666666667,0
3367211.24987811,0.566,0
2132693.3329232,2.408,0
1942710.0004872002,2.485333333333333,0
3148800.0,1.956,0
2276906.6662288,2.464,0
2359413.3328796,2.3353333333333333,0
3163360.0,1.948,0
1290466.6664185,3.0046666666666666,0
3903380.0,1.0653333333333332,0
2995980.0,1.8093333333333332,0
1076746.6664596,3.0453333333333332,0
2496780.0,2.1293333333333333,0
1742346.6663316,2.7253333333333334,0
470657.9167847,3.418,0
4457613.3324761,1.4366666666666668,0
680159.9998691999,2.898,0
4118400.0,0.9273333333333333,0
-743426.6665237,3.6826666666666665,0
1017813.3331376,2.8806666666666665,0
-309053.3332739,3.421333333333333,0
779680.0,3.08,0
3903119.9992493996,1.53,0
2093760.0,2.2953333333333332,0
4505760.0,0.504,0
2128960.0,2.514,0
-337306.6666018,3.7986666666666666,0
2092772.9171915,2.279333333333333,0
2342253.3328829,2.5753333333333335,0
-505120.0,3.8,0
1973920.0,2.6906666666666665,0
2881320.0,1.9466666666666668,0
4875360.0,1.0446666666666666,0
1182426.6669632,3.072,0
4286533.332509,1.54,0
2263733.332898,2.3493333333333335,0
2723500.0,1.8706666666666667,0
2906800.0,1.8106666666666666,0
3768439.9992752997,1.93,0
2114720.0,2.344,0
3213946.6660486,2.0233333333333334,0
3706170.0,1.2393333333333334,0
800640.0,3.1286666666666667,0
4637533.332441499,1.2386666666666666,0
3529413.3326546,1.7826666666666666,0
3512340.0,1.4413333333333334,0
-63932.9166827,3.9793333333333334,0
1005160.0,3.1946666666666665,0
3731173.3326157997,1.66,0
195520.0,3.478,0
-188933.333297,3.4006666666666665,0
3941880.0,0.9666666666666667,0
3553920.0,1.7086666666666666,0
1654813.3330150999,2.6586666666666665,0
1916720.0,2.4526666666666666,0
4242940.0,1.172,0
-535773.3332303,3.9353333333333333,0
4731350.0,0.534,0
115439.99997779999,3.2973333333333334,0
3958826.6679037996,0.7053333333333334,0
916640.0,2.804,0
3196440.0,1.7013333333333334,0
1785030.0,2.364,0
-368853.3332624,3.656,0
4429000.0,0.8133333333333334,0
2389226.6662072,2.3673333333333333,0
2273439.9995628,2.2213333333333334,0
-923346.6664891,3.692,0
4450320.0,0.6753333333333333,0
1346410.0,2.6333333333333333,0
3579200.0,1.6753333333333333,0
2227800.0,2.070666666666667,0
3564253.3326478996,1.9393333333333334,0
3769133.3326085,1.8046666666666666,0
837893.3331722,2.89,0
730240.0,3.1926666666666668,0
1880450.0,2.5193333333333334,0
3702530.0,1.2093333333333334,0
1581920.0,2.5773333333333333,0
2055559.9996047,2.694,0
