spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share,spare_cap_x_wl_max,item_vol_cv,long_item_share,wl_cv,fragile_share,spare_cap_cubed,wl_max_to_avg,tight_x_high_wl,sku_counts_x_lL,spare_cap_x_wl_cv,near_h_limit_share,wl_total_sq,load_util_ratio,multi_dim_tight_share,dim_l_tail_ratio
15627967.5,146594,438567364,0.08879818618276644,0.2857142857142857,3743382.5,0.6611468657170873,0.2857142857142857,0.41663334280546277,0.0,9184477736888,1.6767169015208934,0,2.966666668,8725.135546057381,0.7142857142857143,556889.0625,0.0,0.2857142857142857,1.36799999994528
13620283.337799,120573,179479609,0.08538408803628257,0.2222222222222222,2500773.3337799,0.45870319875747595,0.2222222222222222,0.4087349925591542,0.0,2404488321773,1.6524590015184093,0,3.516666669,5475.8227433047405,0.6666666666666666,1033611.1117888888,0.0,0.2222222222222222,1.24799999995008
11326044.170278,97506,117375556,0.09004458162208505,0.2222222222222222,2099087.5,0.5520426742064594,0.2222222222222222,0.35481657750208556,0.0,1271646773704,1.6679952029646006,0,3.616666668,3844.082833420395,0.7777777777777778,1092896.0076413888,0.0,0.1111111111111111,1.1999999999538462
3434463.75,27907,6436369,0.08807162526170799,0.2727272727272727,491543.75,0.5664657024911715,0.2727272727272727,0.3544629458849863,0.0,16329068153,1.5743305506904746,0,4.633333331,899.2725009442471,0.8181818181818182,1832639.0625,0.0,0.18181818181818182,1.1851851851412893
15549333.332608001,152320,473497600,0.08396825387698413,0.2857142857142857,3889600.0,0.5526863306119476,0.2857142857142857,0.3926982717099592,0.0,10303307776000,1.7510203915821743,0,2.683333331,8545.114475278882,0.5714285714285714,510629.340230139,0.0,0.2857142857142857,1.1777777777341565
6363265.415047,58308,23609881,0.08220293187623458,0.16666666666666666,941431.25,0.6284909326700286,0.16666666666666666,0.4218811523174772,0.0,114720411779,1.7753738310982223,0,4.766666664000001,2049.920537706655,0.75,1715008.506071389,0.0,0.08333333333333333,1.1846153845698224
18018749.999250002,202500,506250000,0.08223593982331961,0.3333333333333333,3778125.00075,0.45319258599389695,0.3333333333333333,0.3870093454302718,0.0,11390625000000,1.8870967533918301,0,3.6333333359999997,8707.71036906232,0.5555555555555556,641334.027724389,0.0,0.2222222222222222,1.2148148147698217
18579271.671149,188258,180821809,0.06931122436853743,0.2857142857142857,2269181.25,0.4360903745243706,0.2857142857142857,0.4161076648858384,0.0,2431510865623,1.7098914181468658,0,5.699999998,5595.399825849356,0.7142857142857143,1909002.7786988888,0.0,0.0,1.296153846103994
14557013.338112,129024,205520896,0.08945473266563786,0.3333333333333333,2562560.0,0.5894056826753502,0.3333333333333333,0.3553573105249413,0.0,2946347565056,1.584324975334985,0,3.9166666649999997,5094.402448387529,0.7777777777777778,1031071.0076213888,0.0,0.2222222222222222,1.2923076922579881
12311620.0,122436,185068816,0.09473593938628257,0.2222222222222222,2431715.0,0.5775142207502958,0.2222222222222222,0.3775243637804099,0.0,2517676172864,1.7776242909285431,0,3.683333331,5135.841495432616,0.6666666666666666,819025.0,0.0,0.2222222222222222,1.3999999999416668
15887652.500665799,159792,398960676,0.08593750006874999,0.25,2912874.9993342,0.5519377805743484,0.25,0.35390707579446523,0.0,7968840542424,1.4667364962244789,0,3.333333336,7068.940002304406,0.625,632687.6736641388,0.0,0.25,1.1925925925484226
7566000.0,62080,38539264,0.09099999992999999,0.3,1202800.0,0.5713066290248969,0.3,0.3423936289444625,0.0,239251750912,1.5897435766995398,0,4.33333333,2125.5796657534706,0.8,1485351.5625,0.0,0.2,1.196296296251989
16770780.0,150507,462293001,0.08775510223061224,0.42857142857142855,3843303.75,0.5367727093033848,0.42857142857142855,0.32523058906209235,0.0,9939761814501,1.604166652681624,0,3.0000000030000002,6992.782957552235,0.7142857142857143,608400.0,0.0,0.2857142857142857,1.2222222221769548
15934957.5,183729,199741689,0.06863247862905983,0.15384615384615385,2061062.4995288998,0.6272262996998814,0.15384615384615385,0.4374256940113882,0.0,2822949290637,1.681448612911736,0,4.766666671,6182.137404029785,0.6153846153846154,1271256.25,0.0,0.07692307692307693,1.3826086955920607
