spare_vol_per_item,bulky_item_share,dim_m_p90_to_vw
-321.05882352941177,0.11764705882352941,0.6559999999999999
365.0,0.07692307692307693,0.68
3064.125,0.0,0.68
203.86666666666667,0.06666666666666667,0.68
1414.7,0.0,0.684
1373.7272727272727,0.09090909090909091,0.68
1181.5454545454545,0.0,0.64
2228.0,0.1111111111111111,0.68
1674.1,0.1,0.68
2497.125,0.0,0.6359999999999999
1089.3333333333333,0.08333333333333333,0.6759999999999999
6027.6,0.0,0.672
194.06666666666666,0.06666666666666667,0.664
597.9230769230769,0.0,0.64
1837.888888888889,0.1111111111111111,0.648
1059.75,0.0,0.68
489.0,0.0,0.68
10045.333333333334,0.3333333333333333,0.632
4536.8,0.2,0.688
410.875,0.0,0.68
7335.0,0.0,0.684
150.64285714285714,0.07142857142857142,0.6680000000000001
492.7142857142857,0.07142857142857142,0.68
-414.3888888888889,0.05555555555555555,0.68
1194.1818181818182,0.09090909090909091,0.64
36.666666666666664,0.05555555555555555,0.68
-315.57894736842104,0.10526315789473684,0.68
335.92857142857144,0.14285714285714285,0.6680000000000001
916.8181818181819,0.18181818181818182,0.68
1442.1666666666667,0.0,0.672
-515.8947368421053,0.10526315789473684,0.68
9298.25,0.0,0.644
-5.428571428571429,0.14285714285714285,0.6680000000000001
739.7272727272727,0.18181818181818182,0.64
12673.333333333334,0.0,0.64
13206.0,0.0,0.48
3720.714285714286,0.0,0.5760000000000001
538.7692307692307,0.07692307692307693,0.68
9051.5,0.0,0.536
1906.5,0.0,0.64
212.0,0.06666666666666667,0.664
5973.8,0.0,0.648
967.75,0.0,0.64
2419.3333333333335,0.0,0.6559999999999999
1025.0,0.09090909090909091,0.68
1281.909090909091,0.0,0.68
255.53333333333333,0.06666666666666667,0.664
4738.0,0.0,0.64
-212.88235294117646,0.058823529411764705,0.68
8219.25,0.0,0.68
48.333333333333336,0.06666666666666667,0.664
508.9166666666667,0.08333333333333333,0.6759999999999999
2572.3333333333335,0.0,0.68
