q90_l_to_L,spare_cap_x_n_wide,height_tail_share
0.49833333333333335,21840,0.0
0.5033333333333333,30314,0.0
0.5333333333333333,46773,0.0
0.5333333333333333,22634,0.0
0.5333333333333333,-4620,0.0
0.5333333333333333,9340,0.0
0.5033333333333333,44386,0.0
0.4583333333333333,41482,0.0
0.5366666666666666,18688,0.0
0.4833333333333334,0,0.0
0.5333333333333333,8696,0.0
0.5183333333333334,24690,0.0
0.5333333333333333,3278,0.0
0.5133333333333333,13468,0.0
0.5333333333333333,32074,0.0
0.5533333333333333,0,0.0
0.5233333333333333,18114,0.0
0.47833333333333333,11476,0.0
0.5283333333333333,17384,0.0
0.5333333333333333,0,0.0
0.5283333333333333,37401,0.0
0.47833333333333333,37722,0.0
0.5333333333333333,7021,0.0
0.5366666666666666,34736,0.0
0.5366666666666666,0,0.0
0.4733333333333334,11211,0.0
0.5333333333333333,17170,0.0
0.5233333333333333,30416,0.0
0.48000000000000004,18328,0.0
0.5333333333333333,11958,0.0
0.5283333333333333,9937,0.0
0.5333333333333333,8295,0.0
0.5333333333333333,32346,0.0
0.5066666666666667,40516,0.0
0.55,12791,0.0
0.5166666666666666,0,0.0
0.5533333333333333,29932,0.0
0.5333333333333333,-8670,0.0
0.5583333333333333,27223,0.0
0.5333333333333333,-12300,0.0
0.5333333333333333,13946,0.0
0.5433333333333333,0,0.0
0.5366666666666666,0,0.0
0.5333333333333333,-38684,0.0
0.43833333333333335,50170,0.0
0.5333333333333333,19950,0.0
0.5416666666666667,26901,0.0
0.5333333333333333,-30635,0.0
0.5333333333333333,14396,0.0
0.5333333333333333,15920,0.0
0.5333333333333333,15508,0.0
0.5133333333333333,9110,0.0
0.4966666666666667,13232,0.0
0.54,0,0.0
0.5333333333333333,26142,0.0
0.5333333333333333,14848,0.0
0.4733333333333334,29772,0.0
0.5333333333333333,11752,0.0
0.5333333333333333,11966,0.0
0.5333333333333333,25730,0.0
0.535,19787,0.0
0.5366666666666666,0,0.0
0.5333333333333333,24196,0.0
0.54,14642,0.0
0.5233333333333333,11004,0.0
0.5333333333333333,25122,0.0
0.5483333333333333,8951,0.0
