two_dim_large_share,spare_x_p90long,cube_item_share
0.08333333333333333,6616.87,0.25
0.25,11454.01,0.125
0.14285714285714285,2269.6966666666667,0.14285714285714285
0.14285714285714285,13623.48,0.14285714285714285
0.07692307692307693,6040.533333333333,0.23076923076923078
0.1,8209.371666666666,0.3
0.0625,2772.2666666666664,0.375
0.2,6437.120000000001,0.1
0.2857142857142857,10932.3,0.14285714285714285
0.0,3334.8,0.375
0.2,6319.42,0.3
0.0,14748.689999999999,0.6666666666666666
0.18181818181818182,6562.133333333333,0.2727272727272727
0.08333333333333333,7722.120000000002,0.25
0.1,10528.800000000001,0.2
0.2,7049.653333333335,0.1
0.09090909090909091,7259.733333333334,0.18181818181818182
0.25,10972.904999999999,0.125
0.25,3970.6666666666665,0.08333333333333333
0.0,14762.783333333333,0.3333333333333333
0.0,11215.72,0.2222222222222222
0.25,3313.0666666666666,0.08333333333333333
0.1,9667.019999999999,0.2
0.18181818181818182,5361.066666666667,0.09090909090909091
0.06666666666666667,1841.3200000000002,0.13333333333333333
0.3333333333333333,14144.35,0.16666666666666666
0.14285714285714285,2092.8,0.2857142857142857
0.0,13728.0,0.5
0.11764705882352941,-2287.4666666666667,0.23529411764705882
0.07142857142857142,3043.653333333333,0.2857142857142857
0.125,-950.9333333333333,0.3125
0.06666666666666667,2501.4733333333334,0.3333333333333333
0.125,12009.6,0.25
0.08333333333333333,6870.150000000001,0.4166666666666667
0.0,19650.12,0.0
0.08333333333333333,7030.003333333335,0.25
0.125,-1037.8666666666666,0.0625
0.1,8397.333333333334,0.2
0.18181818181818182,7206.933333333333,0.09090909090909091
0.1875,-1710.0416666666665,0.1875
0.16666666666666666,8098.133333333333,0.16666666666666666
0.2222222222222222,11968.559999999998,0.2222222222222222
0.25,16606.695,0.0
0.07142857142857142,4611.093333333333,0.21428571428571427
0.3333333333333333,13601.500000000002,0.0
0.09090909090909091,6965.333333333333,0.2727272727272727
0.2857142857142857,11452.666666666666,0.0
0.14285714285714285,11925.333333333334,0.0
0.2857142857142857,11885.08,0.0
