ID,ReturnValue,Time
247,1,13
248,1,10
249,1,16
250,1,8
251,1,25
252,1,5
253,1,14
254,1,6
255,1,41
256,0,54
257,1,26
258,1,10
259,0,7
260,1,13
261,1,88
262,1,13
263,1,16
264,0,6
265,1,27
266,1,8
267,1,33
268,1,89
269,1,9
270,1,6
271,1,21
272,1,60
273,1,17
274,1,27
275,1,5
276,1,5
277,1,5
278,1,18
279,1,4
280,1,7
281,1,22
282,1,6
283,1,5
284,0,17
285,1,13
286,1,26
287,1,19
288,1,14
289,1,8
290,1,25
291,1,7
292,1,38
293,1,9
294,1,18
295,1,7
296,1,31
297,0,25
298,1,112
299,1,5
300,1,8
301,1,4
302,1,6
303,1,9
304,1,14
305,1,35
306,1,201
307,1,6
308,1,7
309,1,15
310,1,7
311,1,7
312,1,4
313,1,45
314,0,11
315,1,7
316,1,11
317,1,10
318,1,51
319,1,11
320,1,71
321,1,11
322,1,46
323,1,74
324,1,20
325,1,257
326,1,6
327,1,15
328,1,9
329,1,37
330,1,5
331,1,30
332,1,61
333,1,15
334,1,33
335,1,14
336,1,29
337,1,20
338,1,7
339,1,7
340,1,30
341,1,35
342,1,28
343,1,65
344,0,8
345,1,12
346,1,12
347,1,16
348,1,16
349,1,17
350,1,5
351,1,5
352,1,352
353,1,5
354,-1,2007
355,1,6
356,1,6
357,1,13
358,1,10
359,1,1747
360,1,11
361,1,4
362,1,12
363,-1,2005
364,1,13
365,1,133
366,1,11
367,1,18
368,1,16
369,1,8
370,1,9
371,0,149
372,1,4
373,1,5
374,1,7
375,0,21
376,1,29
377,1,16
378,1,11
379,1,12
380,1,17
381,1,6
382,1,15
383,1,7
384,1,11
385,1,5
386,1,6
387,1,4
388,1,15
389,1,8
390,1,10
391,1,2
392,1,549
393,1,7
394,1,16
395,1,92
396,1,3
397,1,112
398,1,4
399,1,3
400,1,5
401,1,11
402,1,28
403,1,3
404,1,8
405,1,4
406,1,32
407,1,15
408,1,6
409,1,9
410,1,8
411,1,12
412,1,4
413,1,6
414,1,5
415,1,36
416,1,5
417,1,3
418,1,2
419,1,3
420,1,146
421,1,5
422,1,85
423,1,20
424,1,4
425,0,5
426,1,8
427,1,5
428,1,5
429,1,1
430,1,4
431,1,6
432,1,12
433,1,7
434,1,5
435,1,24
436,1,7
437,1,13
438,1,3
439,1,5
440,1,255
441,1,6
442,1,8
443,1,28
444,1,244
445,1,18
446,1,9
447,1,6
448,1,19
449,1,94
450,1,12
451,1,12
452,1,10
453,1,40
454,1,10
455,1,4
456,1,4
457,1,17
458,1,126
459,1,17
460,-1,2005
461,1,14
462,1,10
463,1,16
464,1,15
465,1,15
466,1,14
467,1,1403
468,0,38
469,1,5
470,1,3
471,1,51
472,1,7
