spare_cap_x_wl_cv,near_h_limit_share,wl_total_sq
2786.8779012047744,0.8333333333333334,1307211.110348889
6096.29019792662,0.8333333333333334,333506.25
6501.798662218212,0.6666666666666666,607750.173559139
6506.146719442783,0.6666666666666666,335916.8402391389
-2.4928161446109187,0.75,2405084.026743889
8238.022952310977,0.6,223650.1736426389
3347.3940169735924,0.9090909090909091,1239511.110368889
4816.683578822694,0.9,883600.0
2450.1495244345047,0.9166666666666666,1390434.0285638887
8534.108781968884,0.3,682689.0625
2439.401467400441,0.9166666666666666,1318669.443678889
3612.726556613593,0.9090909090909091,1085069.445138889
3664.348517108774,0.7,783225.0
4833.634002213489,0.5833333333333334,1179034.027053889
5770.285823632153,0.7777777777777778,573175.1735606389
3745.0527144153293,0.5833333333333334,1547950.6952738888
2723.691507098061,0.5384615384615384,1563541.8411113888
5583.070884417771,0.7777777777777778,659479.3402236389
5671.3428114237995,0.5,542064.0625
1859.4053449488965,0.75,1456044.4452488888
3457.206818220968,0.5833333333333334,1081600.0
6322.681241537397,0.625,561875.1735611389
1499.8437061142934,0.7857142857142857,1906700.693523889
8026.675529371003,0.5714285714285714,413341.84032063885
3610.1410498953364,0.6153846153846154,1428025.0
6364.069742068351,0.7,975979.3403436388
1740.480453648933,0.4375,2118237.674581389
4140.120127067742,0.9,1186284.0285038888
6915.809541106563,0.8571428571428571,647354.3402241389
2244.6183619250037,0.4375,1880326.5625
3922.6066404455773,0.7,1134225.0
1791.887473855805,0.3333333333333333,67816.8402951389
4505.699430059037,0.6363636363636364,1202677.7785088888
4908.968416167418,0.5833333333333334,1195377.777048889
7201.819033415316,0.6,856396.0070061388
5058.12585814506,0.7,983402.7778438888
5637.394107591411,0.6363636363636364,1050625.0
5431.005562309175,0.875,704900.173555139
2859.282036177194,0.6666666666666666,1254400.0
7884.86752565404,0.6666666666666666,383367.36115238885
7396.956957470398,0.6666666666666666,666264.0625
2145.5741111014586,0.75,1458056.25
5832.770450144395,0.7,851775.1736726388
3641.149242795525,0.7272727272727273,1211834.027043889
1017.2314379200097,0.8,2092844.4454088889
11507.82503775789,0.5,333025.17357263895
1466.590704089046,0.5,1853001.5625
10680.086157781127,0.5,280900.0
-1553.7050328855491,0.5882352941176471,2708767.360013889
2191.934376013437,0.5,1630941.839426389
-597.1212206301584,0.6875,2614958.505866389
1476.6264848100127,0.6666666666666666,2084414.0625
10172.765015308201,0.375,535946.006895639
3977.6438189299265,0.5833333333333334,1343667.3618838887
130.829268422874,1.0,57200.69446038889
4332.439964750091,0.75,1400277.776988889
-697.8113584556312,0.75,2331983.505926389
4067.4537656750103,0.8,1056612.6742963889
5473.1820370995865,0.6363636363636364,991684.027711389
-899.200493980432,0.6875,2326896.0079613887
4663.122247301128,0.6666666666666666,1128021.006236389
6138.195081451267,0.6666666666666666,748225.0
5773.27079851635,1.0,248751.5625
2841.3210368758787,0.6428571428571429,1511875.172791389
8273.30843837965,0.8333333333333334,441117.3611553888
4742.919184477224,0.6363636363636364,1208167.3618438889
4891.9291206663775,0.8571428571428571,555025.0
6546.7455325811125,0.8571428571428571,452816.8403226388
8168.124383604138,0.8571428571428571,528650.1735626389
4310.2670478675,0.46153846153846156,1354314.0625
7401.848107429943,0.6666666666666666,778071.0068856389
8235.412792359086,0.6,221291.8403091389
1609.073083403852,0.5625,2097669.443478889
11672.443385720171,0.5,357006.25
6271.702047435065,0.8571428571428571,630700.6944973888
7042.379625654703,0.8333333333333334,385434.02773638896
-142.24673878991226,0.7647058823529411,2514867.360053889
2280.5408228783826,0.7142857142857143,1693251.5625
8495.343789260623,0.7142857142857143,522006.25
386.75493019120427,0.5882352941176471,2577362.674681389
-365.47909203190267,0.625,2588076.5625
11206.465906765847,0.3333333333333333,191041.84024863888
7385.615396142404,0.5555555555555556,792841.8403371389
3644.1304248753872,0.5384615384615384,1334987.6743813888
4326.723470880168,0.8,818271.006884139
10626.451194382667,0.5,215837.6735801389
-1057.9107678270661,0.7647058823529411,2755600.0
13902.629507671898,0.3333333333333333,70004.34026013888
214.39287914831948,0.7857142857142857,2131600.0
1352.3319832362652,1.0,42367.361097388886
1447.7205676904803,0.6923076923076923,1800069.4453388888
7181.445218200029,0.8571428571428571,429571.00698813883
4142.467094899664,0.7272727272727273,1085937.672916389
-767.1591958145623,0.6875,2349833.507966389
10732.558318612893,0.75,153402.7778038889
5121.211760182661,0.6363636363636364,1042100.693763889
3469.3399802875583,0.8888888888888888,1083334.0270838889
-1875.7567518438984,0.5555555555555556,3039211.109948889
13043.190843689363,0.5,91506.25
2822.9513512880344,0.6666666666666666,1136000.693733889
6359.492783813608,0.75,713321.006888139
4838.581014379123,0.6,687517.3611663888
7210.199069147353,0.875,721791.840221139
9762.347181438849,0.4444444444444444,596756.25
1738.6138702642,0.4666666666666667,1889479.339361389
1357.383045141798,0.7142857142857143,1701937.672741389
5045.9640845598215,0.5384615384615384,1256267.360363889
10717.609012217157,0.42857142857142855,321583.50690663897
3338.144687838153,0.5384615384615384,1431014.0625
4208.386223213412,0.9,1001667.3604438889
7233.689436190129,0.5,853314.0625
179.4512673020678,0.47058823529411764,2385737.672581389
4594.9632793621495,0.5454545454545454,1053189.0625
3803.6854285030763,0.6,951437.6736761387
5592.776314748189,0.5555555555555556,638667.3611643888
2478.3536232412644,0.5714285714285714,1895211.112028889
6964.364779186866,0.45454545454545453,1015896.0076163888
7821.675058812497,0.8333333333333334,294758.50698063883
2985.884539737694,0.7272727272727273,1226556.25
9098.799345438165,0.6666666666666666,57200.69446038889
-143.75271539763153,0.6875,2375451.5625
-791.5609023621469,0.75,2459669.443398889
8695.525747510594,0.6,207404.3403081389
9198.985113182285,0.42857142857142855,424669.44448788883
125.08675334305593,0.5625,2371600.0
10316.195309770848,0.5714285714285714,404284.02773538895
-1784.1112213054287,0.6470588235294118,3023251.5625
1528.893556329992,0.7692307692307693,1880326.5625
7345.431434947136,0.625,425756.25
1065.065878692341,0.6666666666666666,2124306.25
4167.43091445844,0.9,916806.25
5692.159393569611,0.5454545454545454,1136889.0625
4238.954306530672,0.8181818181818182,1090284.0284738888
4437.76163617446,0.5555555555555556,697921.0070001388
4596.819180804367,0.6,863350.6945063887
5423.646102509919,0.875,717550.173554639
3357.8766394226245,0.5833333333333334,1066056.25
7747.679474354191,0.8,228802.7777458889
856.0505667480749,0.6666666666666666,1963501.5625
2361.1430209497235,0.8461538461538461,1602334.026933889
5485.678686543899,0.7777777777777778,925604.340213639
4059.425870104427,0.6666666666666666,1127136.111818889
2356.010371964852,0.6,1766684.0286638888
6090.80552698994,1.0,168100.0
4014.2525490678245,1.0,421417.3611543888
2150.761560627467,0.625,1889479.339361389
2041.8087770535526,1.0,226417.36107938888
723.6867561917328,0.7857142857142857,1955336.110178889
2497.247908609534,0.6428571428571429,1824750.693543889
-2498.7254849119927,0.7777777777777778,3204100.0
4766.262717141845,0.6363636363636364,1231175.172871389
219.27470033147134,0.5555555555555556,2619002.776698889
-2195.594343770147,0.5789473684210527,3210069.445638889
1586.4875911502281,0.5714285714285714,1876900.0
3376.7574517198495,0.6363636363636364,1215506.25
6488.150238331544,0.5,1152044.4437288889
-3319.0953289738945,0.631578947368421,3643326.5625
7939.458796345914,0.25,71333.50692663889
-24.292533166557384,0.7142857142857143,2164576.5625
2592.0177315618484,0.6363636363636364,1408177.7785688888
6747.179920033559,0.6666666666666666,38841.840264638886
13027.740288592338,0.3333333333333333,71556.25
7765.908687507465,0.8571428571428571,522608.5069926388
1799.7641243877385,0.6153846153846154,1337877.7785488889
10052.12842706001,0.75,125434.02780138889
6556.749875073723,0.8,846400.0
932.9598266469083,0.7333333333333333,2015216.839331389
7646.352694937679,0.6,211600.0
3685.812534216389,0.8333333333333334,1343667.3618838887
6566.73057263344,0.7777777777777778,624758.5069971388
2959.385344739067,0.6363636363636364,1186284.0285038888
4537.6657558094985,0.6363636363636364,896177.7778408888
1415.4966048322624,0.7333333333333333,2085617.3620738888
9005.778248497001,0.8333333333333334,301126.5625
-1251.1127463012874,0.7647058823529411,2833611.109988889
8810.785130932678,0.5,115883.50696713889
242.10091808810668,0.8,2290177.776768889
2004.2289230045014,0.9166666666666666,1552100.693613889
7545.910943736371,0.4444444444444444,605154.3403296388
4730.322822674373,0.8888888888888888,924001.5625
4799.203766431292,0.5833333333333334,1128906.25
5940.292732771754,0.875,620812.6736636388
6696.432989972533,0.75,709104.340221639
9980.088646982415,0.6,310806.25
6283.948096195933,0.5,668987.6736656388
3277.5582172560034,0.6,1843937.6745163887
952.7722842900092,0.625,2344726.5625
9656.354057682147,0.3333333333333333,496437.67356413894
6593.616271413308,0.625,431758.506900639
4868.635337611743,0.8888888888888888,925604.340213639
3536.6696353064626,0.5454545454545454,841806.25
1277.473550960275,0.6428571428571429,1654439.0625
1536.804298237897,0.7692307692307693,1766684.0286638888
7910.6063482438,0.5714285714285714,302958.50698113884
3665.683068203071,0.9,1142226.5625
4504.693089382554,0.5,657450.694390389
5769.673196938633,0.8571428571428571,490000.0
2513.625815654211,0.6153846153846154,1391416.839491389
9548.891890967216,0.5,124844.44442088889
6006.916539406101,1.0,275625.0
1052.3244124730495,0.7857142857142857,2208939.0625
7136.554922467915,0.5714285714285714,288906.25
2218.8061014615337,0.8333333333333334,1732514.0625
