spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share
18169817.0840393,190611,448550041,0.07309670766625515,0.1111111111111111
13659127.496082,141048,138156516,0.08533564817407406,0.16666666666666666
17193693.7508517,204408,652853601,0.08041232632361112,0.0
4183766.6677099997,40690,9796900,0.09388560165029586,0.38461538461538464
13160904.166201001,139700,195160900,0.10926111134388888,0.4
16328660.828389,177996,220017889,0.08223379627453703,0.0
12763146.6671359,140770,198161929,0.1022777775538889,0.3
-1850580.000432,-19440,1679616,0.10071111116,0.26666666666666666
17099522.4991674,199824,623900484,0.07060763893611112,0.125
12984595.0,129576,116596804,0.07370949063703704,0.25
16786181.249412302,158679,310852161,0.0918518518,0.3333333333333333
15074708.75,143379,253796761,0.10064471898305899,0.5555555555555556
17091112.5,177570,389272900,0.07233882028710563,0.0
9230636.25,94934,45981961,0.07739795900561225,0.21428571428571427
12568158.33686,137540,111936400,0.07638395771732413,0.23076923076923078
7452425.001941999,81564,33942276,0.08526643986689343,0.14285714285714285
18520725.0,163590,546156900,0.0732426304478458,0.14285714285714285
9333799.99764,92040,50126400,0.08125246539497041,0.15384615384615385
12628490.0011326,135912,1154504484,0.0791666666,0.25
14171832.5011137,167055,1116294921,0.07024444425888889,0.2
14211096.25,154583,197486809,0.09095500458438935,0.18181818181818182
5486020.4153079,81526,1661622169,0.0606944446138889,0.0
6541141.6650600005,72300,23232400,0.08374074076703703,0.13333333333333333
15479334.1655823,162655,1058265961,0.06702222215111112,0.0
727142.5,7770,268324,0.09553703694407407,0.3333333333333333
-2900657.5,-29055,3751969,0.09654320968123456,0.26666666666666666
9085840.002192,92064,43243776,0.07925736952715419,0.14285714285714285
14325616.6672815,166005,340218025,0.10240740728703704,0.3333333333333333
13484712.079729,129756,116920969,0.08241319423888889,0.16666666666666666
16224765.411737,162679,218714521,0.07401285589017446,0.18181818181818182
16234410.0,187484,290497936,0.08148760318815428,0.18181818181818182
13977892.5,156396,169859089,0.0798611109138889,0.16666666666666666
13143352.5,128799,137100681,0.081818182,0.2727272727272727
15523118.75,176650,312052225,0.092091666595,0.2
13484878.746003,131901,143784081,0.08870982564926538,0.2727272727272727
12499516.246659,140322,100460529,0.07353032863276644,0.07142857142857142
17403750.0006552,176904,386358336,0.07633744846440328,0.2222222222222222
16494859.999366801,170964,360848016,0.08447873795459533,0.3333333333333333
11071839.169633,115687,79192201,0.07217455616646942,0.07692307692307693
14422519.995744001,153216,163021824,0.06868055561111111,0.16666666666666666
13808020.412601,134167,148766809,0.08680440785316804,0.2727272727272727
11250096.663736,114296,77299264,0.07668474700627877,0.15384615384615385
13330881.667111399,133420,178008964,0.09642500014500001,0.3
11115929.163266001,122424,104080804,0.09558641974969136,0.16666666666666666
17801480.0006352,171504,363131136,0.08417009619286694,0.3333333333333333
11011116.669909999,107030,94672900,0.09487603301184573,0.2727272727272727
10086867.919583,104988,76545001,0.08716820965123456,0.16666666666666666
13067867.5005342,128208,256832676,0.11930989599375001,0.5
15561172.0828011,159670,254945089,0.07963888882611111,0.3
13152949.996140001,138960,134096400,0.07216435182453702,0.16666666666666666
14803836.6660296,172008,365268544,0.1011659805766118,0.3333333333333333
5652689.165214,61012,18992164,0.09305272085561224,0.2857142857142857
12471800.0,124718,128550244,0.08998622600316804,0.36363636363636365
13231400.00364,131040,119246400,0.07749035513811728,0.08333333333333333
16325352.078281,151570,229734649,0.08087777757388888,0.1
15837857.494803,171501,243079281,0.07307851218209366,0.18181818181818182
13396498.75,124487,128074489,0.08510789698755739,0.18181818181818182
-3616112.50077,-39270,5336100,0.08903979216539792,0.23529411764705882
6390116.66511,65380,21808900,0.0858163264122449,0.2857142857142857
15988207.084073098,155351,492529249,0.09179138318956916,0.14285714285714285
16990335.834024698,207410,430189081,0.06856666678000001,0.1
17115093.3327104,168192,349241344,0.09064471860713305,0.2222222222222222
16300972.5,204218,851122276,0.06750000005,0.14285714285714285
6083576.668116,60872,18905104,0.08239795940561224,0.21428571428571427
10637275.0,115220,67732900,0.07550028356638322,0.14285714285714285
2505621.25,24585,2686321,0.08357283954938272,0.26666666666666666
4782542.917789,50505,11336689,0.07742592616185186,0.13333333333333333
16444607.088678999,160370,257185369,0.08268888882111111,0.2
14782643.754758999,128493,203832729,0.10656721517722909,0.5555555555555556
11072182.5,117741,82029249,0.08756245887215648,0.15384615384615385
13584715.0,160664,131698576,0.08014455778758504,0.07142857142857142
10683916.669564,104304,75550864,0.0811111112,0.16666666666666666
15525910.833908899,172670,298149289,0.09315555548111112,0.2
14435747.087489,149604,155426089,0.0780555556,0.16666666666666666
14114315.0,150888,158105476,0.07313657392592593,0.08333333333333333
8855236.25,84252,49294441,0.09535879627453704,0.3333333333333333
16130530.0,156312,301647424,0.07999314128834019,0.3333333333333333
13835411.25,154370,238300969,0.09671111132888889,0.3
13910982.496263001,156954,125686521,0.07048469383792517,0.07142857142857142
10856447.913805,103020,73702225,0.08621913589753087,0.25
9777476.664132,98852,57820816,0.08014792913412228,0.15384615384615385
10878431.663612,119132,83978896,0.08271696269970415,0.07692307692307693
13323205.003986,131538,142993764,0.09057851250633608,0.18181818181818182
11394426.669979,119244,98743969,0.08330632702561729,0.16666666666666666
11243181.252765,116130,68807025,0.07997448959336735,0.21428571428571427
15883233.7494609,161730,261565929,0.0776666666,0.3
17075805.8340086,182322,410386564,0.07522290811042524,0.1111111111111111
13260003.337597,140701,163609681,0.09921028446244261,0.36363636363636365
16712507.5,172146,823173481,0.07651234561265431,0.16666666666666666
14092983.3323356,149660,895924624,0.09316666681,0.4
-7143718.751445,-73695,18792225,0.08844675133675509,0.23529411764705882
16345142.917574098,163338,741091729,0.09432870359907408,0.5
-10283312.49795,-110700,37822500,0.09128086427376544,0.2777777777777778
9439698.75,90649,48622729,0.0858974358,0.23076923076923078
14930950.0,178280,496621225,0.09876302075625,0.25
15070440.0,179410,321879481,0.0970888889561111,0.3
-18503846.663443,-193420,93528241,0.07700000000000001,0.2
16284345.8341695,200680,629257225,0.06333333340000001,0.0
9021833.335549999,86450,44222500,0.08178007910325444,0.23076923076923078
16981256.25,161406,723663801,0.0861111112,0.3333333333333333
-10949459.581291,-110286,37540129,0.08110425248834019,0.2222222222222222
4857150.415467001,46787,12952801,0.0897435896551282,0.23076923076923078
10082666.66932,103480,63361600,0.08257725184582512,0.23076923076923078
9763578.335918,100802,60124516,0.08414201193234715,0.23076923076923078
6441529.168184999,68325,20748025,0.07449629644592592,0.13333333333333333
15988666.662256,172016,175085824,0.07516765293234713,0.07692307692307693
16341400.8326478,185094,422960356,0.10456790127469136,0.3333333333333333
13397775.0,143781,170851041,0.09353764940174472,0.18181818181818182
13926186.667161599,133632,220463104,0.10622770913895749,0.3333333333333333
16659915.004962,193518,221592996,0.0712310981227482,0.07692307692307693
8192123.335291999,76388,34527376,0.08725838287751479,0.3076923076923077
8129401.25,77779,35796289,0.08256410260000001,0.23076923076923078
13090137.5,141515,165508225,0.09550275498512396,0.18181818181818182
17610430.0,197870,391525369,0.07093333327,0.2
15212725.0005687,170610,291077721,0.09533333348,0.2
13176738.337366,133078,146361604,0.0830303032,0.18181818181818182
13623160.8338214,131778,214388164,0.10882716065061727,0.3333333333333333
13489069.996332001,143052,121088016,0.07846811322034847,0.15384615384615385
14000281.245813001,138171,157778721,0.0778902660248852,0.2727272727272727
10233976.663683001,107412,80120401,0.1018672839993827,0.4166666666666667
15068130.0,156552,680792464,0.09938271590061729,0.5
16925533.749276303,195399,471367521,0.08565157734286694,0.1111111111111111
14735906.249152502,152550,646430625,0.10125,0.5
-10855.833331,-112,49,0.089420572846875,0.1875
13839906.2509755,146325,856440225,0.09533333326,0.4
10820486.663427,106909,94458961,0.1043273646393021,0.18181818181818182
15392500.0,163750,268140625,0.100858333485,0.1
10521704.169641,107076,79619929,0.10152199053842592,0.16666666666666666
19658140.0,237920,566059264,0.05999999994,0.1
10616341.663585,110940,85470025,0.10593749992500001,0.25
13630208.337694999,143935,171217225,0.1036019284677686,0.18181818181818182
14582145.0,164770,271491529,0.0970888889561111,0.2
15646858.32853,172920,207648100,0.07998456789876543,0.16666666666666666
16156158.332622001,192060,455395600,0.09590535002983538,0.2222222222222222
12257530.003284,118224,97061904,0.07969328681435185,0.3333333333333333
9641962.919236999,100243,59459521,0.07547666005539119,0.07692307692307693
14891984.166055402,165042,336282244,0.11017832650130316,0.4444444444444444
17742152.5,192784,580713604,0.06907986129513889,0.0
9047586.669166,89976,56220004,0.09328703727685185,0.4166666666666667
13809120.0,159336,176305284,0.08209876541234568,0.08333333333333333
15801966.2492973,168648,444408561,0.09845486088888888,0.5
5988674.165221,60718,18809569,0.08929705231723356,0.14285714285714285
16022126.250830699,174447,621056241,0.09388888896111111,0.42857142857142855
13534570.0,147238,128278276,0.08206443144582512,0.23076923076923078
16607867.0838937,168110,282609721,0.07569722216111112,0.1
7565255.835066,83168,27019204,0.0696788196295139,0.1875
13104853.337344,120320,144769024,0.09528888881111112,0.3
16288789.582658501,141715,409860025,0.09328798202154195,0.42857142857142855
9798952.5,114336,51065316,0.06894965259513888,0.0625
12579780.0,118120,139523344,0.08675555549111111,0.3
9522656.2512189,109701,1337145489,0.07037037037407408,0.0
13493386.670768,135344,151388416,0.08119834729407713,0.18181818181818182
15980159.995128,175392,213627456,0.07833333340000001,0.16666666666666666
18212200.000655998,196800,387302400,0.0766888888211111,0.3
13026533.333771199,131360,172554496,0.098624999925,0.3
13952300.0,149732,185286544,0.08549127634508723,0.18181818181818182
16599402.0826743,158168,390892441,0.0968793405013889,0.5
8338400.0,89340,55428025,0.10340856453935185,0.4166666666666667
18591098.3343342,180156,901560676,0.06388888896111111,0.0
18811297.5,207414,531118116,0.07669753060246913,0.0
7500990.0,74544,38588944,0.102187500075,0.4166666666666667
17725537.5006402,192060,368870436,0.0816666666,0.1
11065576.663316,110572,101042704,0.09955234172644628,0.36363636363636365
5122646.667847,53115,12538681,0.08817777798888889,0.13333333333333333
14840852.082476102,154302,661364089,0.097499999925,0.5
5341545.0,54936,15397776,0.08041950105430838,0.2857142857142857
16790400.0,190080,1003622400,0.05638888885,0.0
-7058979.165237,-72913,18395521,0.08373414051724337,0.23529411764705882
