n_large_dim_l,vol_top2_ratio,flat_frac,max_dim_l_vratio,spare_cap_x_nolarge
0,0.24948118740413244,0.0,0.55,11751.0
0,0.2541025257808997,0.0,0.5666666666666667,11545.0
0,0.6811337466784765,0.0,0.55,34839.0
0,1.0,0.0,0.5333333333333333,38344.0
0,0.4168980725253185,0.0,0.5333333333333333,20512.0
0,0.2632583616897668,0.0,0.5666666666666667,8853.0
0,0.1957491180973088,0.0,0.5666666666666667,-73.0
0,0.4401376833283448,0.0,0.45,24954.0
0,0.2433326046562466,0.0,0.55,8404.0
0,0.5634459416310109,0.0,0.5666666666666667,29341.0
0,0.28979482876973534,0.0,0.5666666666666667,18778.0
0,1.0,0.0,0.5666666666666667,40954.0
0,0.2844570854943952,0.0,0.5666666666666667,15115.0
0,0.3112403906087679,0.0,0.5333333333333333,16122.0
0,0.3011365497363336,0.0,0.5666666666666667,14469.0
0,0.38098789988397147,0.0,0.5666666666666667,20868.0
0,0.36385344643239004,0.0,0.5333333333333333,16942.0
0,0.728113965664191,0.0,0.48333333333333334,36787.0
0,1.0,0.0,0.5666666666666667,36586.0
0,0.4119544762075455,0.0,0.5666666666666667,22682.0
0,0.8306922435362802,0.0,0.5,35408.0
0,0.38789975529491183,0.0,0.5666666666666667,21298.0
0,0.32125367286973555,0.0,0.5333333333333333,12328.0
0,0.4471354926563564,0.0,0.5666666666666667,24438.0
0,0.8677248677248677,0.0,0.43333333333333335,37062.0
0,0.27943110156983764,0.0,0.5333333333333333,7735.0
0,0.7597520020666494,0.0,0.45,33387.0
0,0.24329689212810712,0.0,0.55,11247.0
0,0.6695384615384615,0.0,0.43333333333333335,35250.0
0,0.2686212939973711,0.0,0.55,17612.0
0,0.3371223232619536,0.0,0.5666666666666667,17728.0
0,0.27150577326285324,0.0,0.5666666666666667,11137.0
0,0.3705168031629483,0.0,0.5333333333333333,16672.0
0,0.3707407556756321,0.0,0.5666666666666667,20201.0
0,0.3161995249406176,0.0,0.5333333333333333,13425.0
0,0.2672648178357803,0.0,0.5333333333333333,19254.0
0,0.30744274809160305,0.0,0.55,18800.0
0,0.26704697388359033,0.0,0.55,11343.0
0,0.33556717881660675,0.0,0.5,20528.0
0,0.3131005032789385,0.0,0.4666666666666667,18772.0
0,0.30373984707387464,0.0,0.55,11389.0
0,0.3820349320765179,0.0,0.5333333333333333,16144.0
0,0.32781858375525924,0.0,0.5666666666666667,16954.0
