dominant_type_share,p90_long_over_bin_long,p90_mid_over_bin_mid,thin_item_share,max_face_area_load_over_floor,tight_bin_large_piece_interaction
0.3333333333333333,0.47333333333333333,0.56,1.0,0.7846666666666666,0.0
0.5,0.5533333333333333,0.5566666666666666,0.5,0.628,0.0
0.14285714285714285,0.5466666666666666,0.58,0.8571428571428571,1.9533333333333334,0.0
0.3333333333333333,0.4966666666666667,0.4533333333333333,0.6666666666666666,0.6373333333333333,0.0
0.125,0.5433333333333333,0.5766666666666667,0.875,2.028,0.0
0.08333333333333333,0.5333333333333333,0.5666666666666667,0.6666666666666666,2.584,0.0
0.16666666666666666,0.55,0.5833333333333334,0.8333333333333334,1.604,0.0
0.3333333333333333,0.43,0.4666666666666667,0.3333333333333333,0.49933333333333335,0.0
0.07142857142857142,0.5183333333333333,0.5666666666666667,0.5714285714285714,2.83,0.014570925925925926
0.25,0.445,0.49,0.0,0.7213333333333334,0.0
0.07692307692307693,0.5333333333333333,0.5533333333333333,0.46153846153846156,2.522,0.0
0.25,0.43333333333333335,0.44666666666666666,0.25,0.6706666666666666,0.0
0.1,0.535,0.5066666666666666,0.6,2.0193333333333334,0.0
0.1,0.5366666666666667,0.5700000000000001,0.8,2.284666666666667,0.0
0.09090909090909091,0.55,0.5666666666666667,0.8181818181818182,2.83,0.0
0.1,0.5333333333333333,0.5666666666666667,0.6,2.1653333333333333,0.0
0.125,0.5433333333333333,0.5766666666666667,0.75,1.8953333333333333,0.0
0.08333333333333333,0.5283333333333334,0.5633333333333332,0.75,2.716666666666667,0.0
0.08333333333333333,0.4783333333333334,0.5666666666666667,0.6666666666666666,2.179333333333333,0.0
0.1,0.535,0.5,0.5,1.932,0.0
0.09090909090909091,0.5333333333333333,0.5333333333333333,0.8181818181818182,2.764666666666667,0.0
0.1,0.48500000000000004,0.5066666666666666,0.4,1.696,0.0
0.09090909090909091,0.45,0.5333333333333333,0.45454545454545453,2.0453333333333332,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.638,0.0
0.1,0.4883333333333333,0.5666666666666667,0.5,2.088,0.0
0.2,0.5366666666666667,0.5700000000000001,0.9,2.4466666666666668,0.0
0.1,0.5366666666666667,0.5700000000000001,0.7,2.3813333333333335,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.36363636363636365,1.958,0.0
0.14285714285714285,0.49333333333333335,0.56,0.7142857142857143,1.5046666666666666,0.0
0.08333333333333333,0.5333333333333333,0.5666666666666667,0.75,2.752666666666667,0.0
0.14285714285714285,0.49333333333333335,0.58,0.7142857142857143,1.5393333333333334,0.0
0.16666666666666666,0.5266666666666667,0.5666666666666667,0.6666666666666666,2.386,0.0
0.1,0.47333333333333333,0.5666666666666667,0.7,1.882,0.0
0.1111111111111111,0.49333333333333335,0.5666666666666667,0.5555555555555556,1.9486666666666668,0.0
0.07692307692307693,0.5266666666666667,0.5,0.46153846153846156,2.498,0.0
0.14285714285714285,0.5466666666666666,0.5466666666666666,1.0,1.844,0.0
