pressure_product,max_dim_l_to_min_floor,count_vol_fill_interaction
8.039733333333333,1.36,7.986244444444445
6.430355555555556,1.36,6.400444444444444
5.127111111111111,1.36,5.0044
4.7642,1.28,4.9974
6.445200000000001,1.36,6.3646666666666665
4.34108888888889,1.16,4.168
3.878,1.36,3.878
0.08533333333333333,1.28,0.08533333333333333
5.600977777777778,1.36,5.614
11.937066666666668,1.32,11.704622222222223
7.081155555555555,1.36,7.091111111111111
9.093933333333334,1.36,9.007044444444444
5.497066666666667,1.28,5.7428888888888885
6.503733333333333,1.28,6.359466666666667
9.08551111111111,1.36,8.920533333333333
5.679000000000001,1.36,5.699999999999999
6.992866666666666,1.28,7.087177777777778
8.993,1.32,9.007200000000001
8.68977777777778,1.28,8.853333333333333
8.966333333333333,1.32,8.8664
9.12511111111111,1.36,8.921333333333333
0.6950666666666667,1.32,0.6774
0.1479111111111111,1.28,0.1479111111111111
4.797866666666667,1.28,4.8976
9.5106,1.36,9.6392
15.452177777777777,1.36,15.024333333333333
3.0466888888888892,1.08,3.118266666666667
10.724622222222221,1.32,10.572177777777778
1.7706666666666668,1.36,1.7398888888888888
6.616266666666666,1.36,6.409822222222222
0.08991111111111112,1.36,0.08991111111111111
6.844800000000001,1.36,6.641111111111111
7.172000000000001,1.28,7.059066666666667
6.753733333333334,1.36,6.784666666666666
4.279533333333333,1.36,4.290133333333333
6.7264,1.28,6.858622222222222
0.5492666666666666,1.16,0.5475333333333334
0.3977333333333333,1.36,0.37395555555555554
3.4508888888888887,1.36,3.4716888888888886
0.6160888888888889,1.2,0.6394666666666666
4.1912,1.36,4.213688888888889
8.613333333333333,1.28,8.712533333333333
2.7268,1.36,2.7416
0.49933333333333335,1.04,0.5292
11.508666666666667,1.28,11.593555555555556
0.9858222222222223,1.08,1.0322666666666667
9.835799999999999,1.32,9.750866666666667
0.8718666666666667,1.04,0.8666666666666667
6.125311111111111,1.32,6.086222222222222
6.092444444444444,1.36,6.060444444444445
8.301333333333332,1.36,8.277622222222222
6.207288888888889,1.28,6.295111111111112
4.296088888888889,1.36,4.408711111111111
8.512222222222222,1.28,8.42
7.04651111111111,1.28,6.865600000000001
5.795999999999999,1.32,5.822222222222222
8.201844444444445,1.32,8.227266666666667
5.314133333333333,1.2,5.4382222222222225
6.545066666666667,1.12,6.4112888888888895
8.001933333333334,1.32,8.216022222222222
6.264,1.28,6.412444444444444
6.198222222222222,1.36,6.232444444444445
6.350222222222222,1.36,6.155555555555555
6.526666666666666,1.28,6.8111999999999995
2.808711111111111,1.28,2.800311111111111
9.0838,1.36,9.030666666666667
2.822111111111111,1.28,2.9040666666666666
7.635200000000001,1.28,7.572
4.830466666666667,1.28,4.654
5.326355555555556,1.28,5.3744
9.992,1.32,10.005088888888888
3.1348000000000003,1.36,3.125111111111111
9.713333333333335,1.36,9.593333333333334
10.08,1.36,10.054133333333333
12.059599999999998,1.32,12.131155555555555
7.440488888888889,1.36,7.599555555555556
0.22364444444444445,1.2,0.2321777777777778
7.486755555555556,1.28,7.514466666666667
7.692533333333333,1.28,7.751088888888889
8.980977777777778,1.32,8.751733333333334
7.286133333333334,1.36,7.109422222222221
0.154,1.0,0.15866666666666668
7.2692,1.32,7.351911111111112
8.492088888888889,1.32,8.3256
5.859,1.36,5.7989999999999995
6.970155555555555,1.36,6.833555555555556
5.553777777777778,1.36,5.5614
8.644800000000002,1.28,8.499400000000001
8.372177777777777,1.28,8.391466666666666
5.732799999999999,1.36,5.755000000000001
7.927111111111111,1.28,7.9008
16.382155555555556,1.32,16.234666666666666
3.8316666666666666,1.28,3.8374
3.7728,1.32,3.8476444444444446
17.866755555555557,1.32,17.66451111111111
4.1216,1.28,4.177066666666667
0.37511111111111106,1.28,0.3648
5.232222222222222,1.32,5.167800000000001
7.654066666666667,1.36,7.7682
0.5731555555555555,1.28,0.5808
10.969111111111111,1.32,10.823866666666667
6.942933333333333,1.28,7.047822222222222
5.513333333333334,1.28,5.5728
0.1953777777777778,1.28,0.19306666666666666
6.3088,1.36,6.289555555555556
0.46271111111111113,1.08,0.483
7.25571111111111,1.36,7.217555555555556
5.217333333333333,1.28,5.242666666666667
4.990355555555555,1.08,5.2188888888888885
9.177422222222223,1.32,9.239733333333334
5.9072,1.36,5.660444444444445
0.535,1.36,0.5077333333333334
4.130177777777777,1.28,4.224177777777777
12.879466666666666,1.28,12.897333333333334
12.433266666666666,1.36,12.276755555555555
4.421666666666667,1.32,4.4624
6.729066666666666,1.28,6.788222222222222
0.7715555555555557,1.28,0.788
10.603155555555556,1.32,10.648733333333334
1.1300666666666668,1.16,1.118311111111111
4.150044444444444,1.36,4.2339111111111105
4.662044444444445,1.36,4.754844444444444
7.629555555555556,1.32,7.425488888888889
9.042155555555555,1.28,8.842600000000001
6.7914,1.36,6.722444444444444
4.722666666666667,1.36,4.6588
9.536333333333333,1.32,9.341800000000001
4.382444444444444,1.36,4.427733333333333
6.11208888888889,1.28,6.186666666666667
2.508,1.36,2.4990666666666668
3.146,1.36,3.0681777777777777
17.0544,1.36,16.808844444444446
7.198488888888889,1.36,7.162466666666667
2.417333333333333,1.28,2.514666666666667
11.7972,1.36,11.671022222222222
3.3005555555555555,1.36,3.2016
8.171333333333333,1.32,8.198666666666666
3.3698,1.28,3.4399555555555557
8.975733333333332,1.36,8.779733333333333
7.8577111111111115,1.36,7.798
8.569711111111111,1.36,8.462422222222221
5.95,1.28,6.238
7.656444444444444,1.28,7.846911111111111
7.342866666666667,1.32,7.124088888888889
5.811866666666666,1.32,5.866888888888889
10.242222222222223,1.36,10.194933333333333
5.777066666666666,1.28,5.933333333333334
7.750488888888889,1.36,7.734222222222223
7.760222222222222,1.28,7.833711111111111
9.341377777777778,1.32,9.268266666666667
6.551111111111111,1.32,6.443066666666667
8.544577777777777,1.36,8.530866666666666
8.71111111111111,1.28,8.422844444444443
20.21333333333333,1.36,19.842777777777776
5.9921999999999995,1.28,6.014666666666667
12.947199999999999,1.32,12.940666666666667
9.2992,1.36,9.404533333333333
5.549133333333334,1.36,5.657400000000001
1.1032,1.36,1.1245333333333334
0.5413333333333333,1.36,0.5522
1.3874222222222221,1.36,1.403
11.791577777777778,1.32,11.76008888888889
4.382,1.36,4.3480888888888884
11.356533333333333,1.36,11.311444444444444
12.2136,1.36,12.153844444444445
9.284666666666666,1.36,9.427244444444444
7.620533333333333,1.32,7.593177777777777
7.771399999999999,1.36,7.897266666666667
5.353022222222222,1.32,5.3064
6.910644444444444,1.32,6.733466666666667
8.746333333333332,1.36,8.584644444444445
6.260088888888889,1.32,6.317333333333334
8.885333333333334,1.28,8.807466666666667
4.928,1.28,5.1808
5.7013333333333325,1.36,5.8334
7.2756,1.32,7.135088888888889
5.7014,1.32,5.764
6.9874,1.36,6.892444444444444
10.1232,1.36,9.956533333333333
4.371888888888888,1.28,4.376711111111111
3.7030000000000003,1.28,3.805044444444445
10.665044444444444,1.28,10.637755555555556
6.853377777777778,1.28,6.986888888888889
5.676533333333333,1.36,5.6579999999999995
1.148,1.28,1.2356444444444445
13.477422222222222,1.28,13.424333333333333
