footprint_pressure,spare_cap_x_n_tall_items,n_long_tall_items
1.054,57282,1
0.78,58976,1
0.39266666666666666,65276,0
1.2293333333333334,-21637,1
0.26066666666666666,36395,0
1.0973333333333333,3996,1
0.15933333333333333,37114,1
1.074,5729,0
0.498,49176,0
0.8346666666666667,41193,0
1.2566666666666666,-14896,1
0.23333333333333334,35432,0
0.9053333333333333,68920,1
0.744,39348,1
1.4606666666666666,-26635,1
0.256,37086,0
1.0066666666666666,41428,0
0.576,0,0
0.8146666666666667,74260,0
0.5766666666666667,82252,1
0.68,86980,1
1.2386666666666666,24170,1
1.1166666666666667,18256,0
0.8866666666666667,57860,0
0.5166666666666667,56962,0
1.0446666666666666,29661,0
0.792,71154,1
0.698,42890,0
1.3546666666666667,2940,1
0.9286666666666666,28462,0
0.84,33292,0
0.7473333333333333,63327,0
1.0813333333333333,18846,1
0.8593333333333333,49329,1
0.44866666666666666,80184,0
0.928,23088,0
0.22,0,0
1.2506666666666666,-1980,0
1.224,-15645,1
0.3453333333333333,62986,1
0.5526666666666666,0,0
1.318,1795,1
0.5106666666666667,27032,0
1.424,-21832,1
1.0353333333333334,23725,1
0.534,98052,1
1.0886666666666667,18348,2
0.7653333333333333,70735,0
0.804,60444,2
0.8106666666666666,38991,0
0.7393333333333333,40104,1
0.8593333333333333,50223,0
0.622,19977,0
0.928,52288,1
0.4,30138,0
1.15,11644,1
0.928,23319,0
0.7393333333333333,49623,1
0.83,76302,1
1.034,44010,1
0.33066666666666666,30136,1
0.5106666666666667,45368,1
1.0586666666666666,46018,1
0.372,29340,0
1.108,12654,1
1.0086666666666666,41388,2
1.3413333333333333,-52213,1
0.896,39408,1
1.3413333333333333,3300,0
1.48,-35976,1
1.202,18812,1
0.998,40340,1
0.8306666666666667,34612,0
1.54,-49010,1
0.2886666666666667,37193,0
1.22,-304,1
1.0153333333333334,16274,1
0.18866666666666668,76040,0
0.204,0,0
0.47933333333333333,0,0
1.0706666666666667,35020,1
0.25733333333333336,0,0
0.668,38130,0
1.154,12720,0
0.396,29869,1
0.848,34839,0
0.626,65322,0
0.924,22550,1
0.7926666666666666,84606,1
1.0813333333333333,22998,1
0.418,56856,0
