spare_cap_x_long_item,dim_l_max_to_veh_l,wl_total_x_sku_counts
939.4285714285713,0.5333333333333333,19343.333338
6148.333333333333,0.5666666666666667,6990.0000003
1802.1666666666665,0.5333333333333333,14964.999996
2688.909090909091,0.5333333333333333,12067.916663
3098.909090909091,0.55,10477.5
2172.1666666666665,0.5333333333333333,12870.0
3193.363636363636,0.55,12347.5
3533.0,0.5666666666666667,8787.5
3270.272727272727,0.5666666666666667,12370.416663
715.9285714285714,0.5333333333333333,17459.166662
4368.0,0.55,7968.7500003
6332.0,0.55,7814.9999997
684.5384615384615,0.5333333333333333,16174.166670999999
2128.0,0.5333333333333333,13554.999996
3326.454545454545,0.5333333333333333,12452.916663
1352.6153846153848,0.5333333333333333,16634.583329
4002.6,0.5333333333333333,9991.666667
1700.3333333333333,0.5333333333333333,13074.999996
6352.0,0.5666666666666667,8407.500000299999
2653.6363636363635,0.5333333333333333,12448.333337
1458.1666666666665,0.5333333333333333,13835.000004
8013.0,0.5666666666666667,6523.3333336
4790.099999999999,0.5666666666666667,9745.833333
1930.0,0.5333333333333333,13629.999996
6370.666666666666,0.5666666666666667,6971.2499997
1245.142857142857,0.5666666666666667,18159.166662
4122.909090909091,0.5666666666666667,12100.0
910.0,0.5333333333333333,14540.000004
1515.7,0.5333333333333333,10770.833330000001
2834.727272727273,0.55,11174.166663
2057.6363636363635,0.5333333333333333,13021.25
-543.5294117647059,0.5666666666666667,26612.083339
1334.2857142857142,0.5666666666666667,19156.666662
3170.428571428571,0.5333333333333333,5042.9166669
2074.1,0.5333333333333333,8191.6666669999995
4152.888888888889,0.55,8242.499999700001
4167.714285714285,0.5333333333333333,3911.25
931.7142857142857,0.5333333333333333,19588.333338
1175.7142857142856,0.5333333333333333,18095.0
437.06666666666666,0.55,22931.25
448.93333333333334,0.5333333333333333,21306.250004999998
3207.4,0.5333333333333333,10254.166669999999
7931.666666666667,0.5666666666666667,9318.750003
1393.3846153846155,0.5333333333333333,15892.5
819.7142857142857,0.5333333333333333,16572.5
1448.6666666666665,0.5333333333333333,14750.000004
3453.4,0.5333333333333333,8991.666667
2077.833333333333,0.5333333333333333,13895.000004
1047.8333333333333,0.5333333333333333,13470.0
2340.333333333333,0.55,15135.0
5789.333333333333,0.55,8358.75
4631.099999999999,0.5666666666666667,8962.5
800.7857142857142,0.5333333333333333,17371.666662
2146.25,0.5333333333333333,15174.999996
1169.8461538461538,0.5333333333333333,16715.833329
704.9230769230769,0.5333333333333333,15432.083329000001
2174.181818181818,0.5333333333333333,12255.833337
1656.1666666666665,0.5333333333333333,13760.000004
1777.5,0.55,18975.833338
4851.9,0.5333333333333333,9820.833333
2250.8888888888887,0.5333333333333333,7586.2500003
4651.272727272727,0.5666666666666667,11403.333337
4781.833333333333,0.5333333333333333,3495.0
11972.800000000001,0.5666666666666667,2354.1666665
-1020.0,0.55,28014.583339
13611.5,0.5666666666666667,3602.5000001999997
-1708.3333333333335,0.5666666666666667,30097.499994
1609.1538461538462,0.5333333333333333,17598.75
5571.25,0.5666666666666667,5360.0
5382.3,0.5666666666666667,8400.0
-1934.2,0.55,38266.66666
0.0,0.45,5193.3333336
1534.6153846153848,0.55,17636.666671
8967.0,0.55,3787.5
-1361.5555555555554,0.55,32167.499994
830.5384615384615,0.55,17544.583329
1836.9230769230771,0.5333333333333333,16466.666671
1789.3846153846155,0.5666666666666667,16369.166670999999
607.3333333333334,0.5333333333333333,21212.500004999998
1017.8461538461539,0.5333333333333333,15708.333329000001
6855.333333333333,0.5666666666666667,7151.2499997
2376.5454545454545,0.5333333333333333,11275.0
4949.333333333333,0.5333333333333333,8441.250000299999
1145.076923076923,0.5333333333333333,14549.166670999999
1808.0,0.55,18124.166671
1380.6923076923078,0.55,17663.75
2339.090909090909,0.5666666666666667,11192.5
3957.4,0.55,8900.0
3412.2000000000003,0.5666666666666667,8916.666667
2199.6363636363635,0.5666666666666667,11980.833337
4880.666666666666,0.5666666666666667,8373.750000299999
1692.923076923077,0.5333333333333333,15935.833329000001
3425.7272727272725,0.5333333333333333,12260.416663
3729.5833333333335,0.5666666666666667,13719.999996
13046.0,0.5666666666666667,3465.0
2412.333333333333,0.5333333333333333,7016.2499997
12712.5,0.5666666666666667,3477.4999998000003
-1.3125,0.5333333333333333,24813.333328
11706.0,0.5666666666666667,2364.5833335
1767.0909090909092,0.5333333333333333,12246.666663
1637.5,0.5333333333333333,9400.0
1487.1666666666665,0.5333333333333333,14150.000004
2379.2000000000003,0.5333333333333333,8262.5
2311.25,0.5666666666666667,13779.999996
2379.090909090909,0.5666666666666667,11458.333337
3295.4,0.5666666666666667,8850.0
2401.6666666666665,0.5666666666666667,13029.999996
4742.222222222222,0.5666666666666667,6813.7499997
3284.0,0.55,14930.000004
593.1538461538462,0.5333333333333333,16255.416670999999
8150.222222222222,0.5666666666666667,7308.7499997
